선수,연도,팀,연봉(만원),WAR
이창재,2020,KT,"4,200",0.02
유원상,2020,KT,"4,000",0.78
문상철,2020,KT,"4,000",0.17
강민국,2020,KT,"4,000",-0.40
이상화,2020,KT,"4,000",0.17
이준수,2020,KT,"3,800",0.00
안승한,2020,KT,"3,700",0.00
류희운,2020,KT,"3,500",-0.12
이종혁,2020,KT,"3,400",0.00
조근종,2020,KT,"3,300",0.00
이정현,2020,KT,"3,300",0.00
박세진,2020,KT,"3,300",-0.01
안현준,2020,KT,"3,200",-0.01
정주후,2020,KT,"3,000",-0.04
김병희,2020,KT,"3,000",-0.12
이강철,2020,KT,"3,000",0.00
조현우,2020,KT,"3,000",1.80
김성훈,2020,KT,"2,900",0.06
박준혁,2020,KT,"2,900",-0.12
김민섭,2020,KT,"2,900",0.00
이상동,2020,KT,"2,900",-0.08
박민석,2020,KT,"2,900",0.00
이선우,2020,KT,"2,900",-0.05
최건,2020,KT,"2,900",0.00
임지한,2020,KT,"2,900",0.00
김태훈,2020,KT,"2,900",-0.05
홍현빈,2020,KT,"2,900",-0.02
이재근,2020,KT,"2,900",0.00
전용주,2020,KT,"2,800",0.00
문상인,2020,KT,"2,800",-0.07
조한욱,2020,KT,"2,800",0.00
신용승,2020,KT,"2,800",0.00
강민성,2020,KT,"2,800",0.00
천성호,2020,KT,"2,700",-0.50
윤준혁,2020,KT,"2,700",0.00
한지용,2020,KT,"2,700",0.00
소형준,2020,KT,"2,700",3.24
이강준,2020,KT,"2,700",-0.08
강현우,2020,KT,"2,700",-0.46
최지효,2020,KT,"2,700",0.00
김성균,2020,KT,"2,700",0.00
박성현,2020,KT,"2,700",0.00
이구름,2020,KT,"2,700",0.00
문상준,2020,KT,"2,700",0.00
고영찬,2020,KT,"2,700",0.00
여도건,2020,KT,"2,700",0.00
서경찬,2020,KT,"2,700",0.00
김경민,2020,KT,"2,700",0.00
최태성,2020,KT,"2,700",0.00
이승주,2020,KT,"2,700",0.00
윤종휘,2020,KT,"2,700",0.00
이범정,2020,KT,"2,700",0.00
박규민,2020,KT,"2,700",0.00
조병욱,2020,KT,"2,700",-0.10
한대겸,2020,KT,"2,700",0.00
윤강찬,2020,KT,"2,700",0.00
장현우,2020,KT,"2,700",0.00
한승지,2020,KT,"2,700",-0.02
지강혁,2020,KT,"2,700",0.00
박준호,2020,KT,"2,700",0.00
고성민,2020,KT,"2,700",0.00
이정훈,2020,KT,"2,700",0.00
박병호,2020,키움,"200,000",2.42
브리검,2020,키움,"80,000",3.16
김하성,2020,키움,"55,000",8.10
요키시,2020,키움,"55,000",6.08
러셀,2020,키움,"54,000",0.56
이정후,2020,키움,"39,000",7.24
최원태,2020,키움,"37,000",1.49
서건창,2020,키움,"35,000",3.40
이지영,2020,키움,"30,000",1.28
김상수,2020,키움,"30,000",0.17
한현희,2020,키움,"29,000",2.33
박동원,2020,키움,"22,500",2.03
손혁,2020,키움,"20,000",0.00
조상우,2020,키움,"20,000",2.29
오주원,2020,키움,"20,000",-0.12
모터,2020,키움,"20,000",-0.51
신재영,2020,키움,"14,000",-0.12
김혜성,2020,키움,"10,000",3.41
윤영삼,2020,키움,"9,800",0.00
김성민,2020,키움,"9,700",-0.21
양현,2020,키움,"9,000",0.72
임병욱,2020,키움,"8,800",0.17
이승호,2020,키움,"8,500",2.10
김태훈,2020,키움,"8,000",0.23
김재현,2020,키움,"7,000",-0.10
이영준,2020,키움,"5,500",0.93
김규민,2020,키움,"5,400",-0.40
이택근,2020,키움,"5,000",-0.15
안우진,2020,키움,"4,800",1.00
정대현,2020,키움,"4,500",-0.01
박준태,2020,키움,"4,500",2.16
박정음,2020,키움,"4,300",-0.18
문성현,2020,키움,"4,200",0.30
김선기,2020,키움,"4,200",0.43
주효상,2020,키움,"4,000",-0.21
박주현,2020,키움,"4,000",0.00
김웅빈,2020,키움,"3,700",-0.05
김정후,2020,키움,"3,500",-0.09
허정협,2020,키움,"3,500",1.01
김정인,2020,키움,"3,200",-0.04
조성운,2020,키움,"3,000",-0.02
차재용,2020,키움,"2,900",0.04
전병우,2020,키움,"2,900",1.01
김은성,2020,키움,"2,900",0.18
박관진,2020,키움,"2,700",-0.03
신준우,2020,키움,"2,700",0.00
김동욱,2020,키움,"2,700",0.00
김동은,2020,키움,"2,700",0.00
박동혁,2020,키움,"2,700",0.00
정재원,2020,키움,"2,700",0.00
김동혁,2020,키움,"2,700",0.11
조범준,2020,키움,"2,700",0.00
임지열,2020,키움,"2,700",0.05
임규빈,2020,키움,"2,700",0.16
박승주,2020,키움,"2,700",-0.22
배현호,2020,키움,"2,700",0.00
김수환,2020,키움,"2,700",-0.05
신효승,2020,키움,"2,700",0.00
변상권,2020,키움,"2,700",0.08
정동욱,2020,키움,"2,700",0.00
이재승,2020,키움,"2,700",0.00
송우현,2020,키움,"2,700",-0.19
김재웅,2020,키움,"2,700",0.10
양기현,2020,키움,"2,700",0.58
이찬석,2020,키움,"2,700",0.00
김준연,2020,키움,"2,700",0.00
이명기,2020,키움,"2,700",0.00
박준형,2020,키움,"2,700",0.00
김주형,2020,키움,"2,700",0.24
정현민,2020,키움,"2,700",0.00
박주홍,2020,키움,"2,700",-0.24
문찬종,2020,키움,"2,700",0.02
김병휘,2020,키움,"2,700",-0.02
이종민,2020,키움,"2,700",0.00
김인범,2020,키움,"2,700",0.00
김신회,2020,키움,"2,700",0.00
박주성,2020,키움,"2,700",0.06
윤정현,2020,키움,"2,700",-0.52
조영건,2020,키움,"2,700",0.08
주성원,2020,키움,"2,700",0.00
브룩스,2021,KIA,"100,000",2.31
최형우,2021,KIA,"90,000",1.51
터커,2021,KIA,"70,000",0.35
김선빈,2021,KIA,"45,000",2.70
멩덴,2021,KIA,"42,500",3.48
나지완,2021,KIA,"40,000",-1.15
박준표,2021,KIA,"16,000",-0.17
전상현,2021,KIA,"14,000",0.37
최원준,2021,KIA,"13,000",3.60
유민상,2021,KIA,"10,500",0.04
장현식,2021,KIA,"10,500",2.43
김윤동,2021,KIA,"10,000",0.00
박찬호,2021,KIA,"10,000",1.87
임기영,2021,KIA,"10,000",3.27
나주환,2021,KIA,"10,000",-0.26
류지혁,2021,KIA,"10,000",2.01
홍상삼,2021,KIA,"9,000",-0.13
강경학,2021,KIA,"8,700",0.06
김태진,2021,KIA,"8,500",0.50
김민식,2021,KIA,"8,500",1.66
김호령,2021,KIA,"8,500",0.86
한승택,2021,KIA,"8,500",1.25
심동섭,2021,KIA,"8,000",0.00
이창진,2021,KIA,"7,000",0.66
정해영,2021,KIA,"7,000",2.56
장영석,2021,KIA,"6,000",0.00
이준영,2021,KIA,"6,000",-0.01
다카하시,2021,KIA,"6,000",0.49
이민우,2021,KIA,"6,000",-0.54
고영창,2021,KIA,"5,200",-0.13
한승혁,2021,KIA,"5,000",0.29
하준영,2021,KIA,"5,000",0.00
박진태,2021,KIA,"5,000",0.00
황윤호,2021,KIA,"4,500",-0.33
김규성,2021,KIA,"4,500",-0.08
황대인,2021,KIA,"4,300",-0.92
이우성,2021,KIA,"4,100",0.49
김기훈,2021,KIA,"4,000",0.00
변시원,2021,KIA,"4,000",-0.02
문선재,2021,KIA,"4,000",0.00
최정용,2021,KIA,"3,800",0.04
이진영,2021,KIA,"3,600",0.29
김현수,2021,KIA,"3,500",-0.43
김명찬,2021,KIA,"3,500",0.00
이준형,2021,KIA,"3,500",0.00
최정민,2021,KIA,"3,500",0.19
오선우,2021,KIA,"3,400",-0.39
황인준,2021,KIA,"3,400",0.00
차명진,2021,KIA,"3,300",-0.07
홍종표,2021,KIA,"3,300",0.00
김영환,2021,KIA,"3,300",0.00
김재열,2021,KIA,"3,200",0.25
양승철,2021,KIA,"3,200",0.00
남재현,2021,KIA,"3,200",-0.12
서덕원,2021,KIA,"3,100",-0.33
김현준,2021,KIA,"3,100",0.12
이동건,2021,KIA,"3,100",0.00
한준수,2021,KIA,"3,100",0.00
이인한,2021,KIA,"3,000",0.00
장시현,2021,KIA,"3,000",0.00
김연준,2021,KIA,"3,000",0.00
이영재,2021,KIA,"3,000",0.00
이준범,2021,KIA,"3,000",0.00
김선우,2021,KIA,"3,000",0.00
박대명,2021,KIA,"3,000",0.00
박건우,2021,KIA,"3,000",0.13
이승재,2021,KIA,"3,000",-0.28
이의리,2021,KIA,"3,000",2.80
장민기,2021,KIA,"3,000",0.15
권혁경,2021,KIA,"3,000",-0.26
김원경,2021,KIA,"3,000",0.00
김유신,2021,KIA,"3,000",-0.27
오정환,2021,KIA,"3,000",-0.21
백미카엘,2021,KIA,"3,000",0.00
윤중현,2021,KIA,"3,000",1.42
송후섭,2021,KIA,"3,000",0.00
박정우,2021,KIA,"3,000",0.19
최승주,2021,KIA,"3,000",0.00
김석환,2021,KIA,"3,000",-0.27
이정훈,2021,KIA,"3,000",0.05
박민,2021,KIA,"3,000",-0.28
백현종,2021,KIA,"3,000",0.00
김양수,2021,KIA,"3,000",0.00
오규석,2021,KIA,"3,000",0.00
장재혁,2021,KIA,"3,000",0.00
최용준,2021,KIA,"3,000",-0.13
홍원빈,2021,KIA,"3,000",0.00
장지수,2021,KIA,"3,000",0.25
오승환,2021,삼성,"110,000",2.54
뷰캐넌,2021,삼성,"90,000",5.69
오재일,2021,삼성,"60,000",2.88
라이블리,2021,삼성,"50,000",1.02
피렐라,2021,삼성,"50,000",3.10
강민호,2021,삼성,"50,000",3.91
몽고메리,2021,삼성,"45,000",0.79
박해민,2021,삼성,"38,000",4.19
구자욱,2021,삼성,"36,000",5.56
이원석,2021,삼성,"30,000",1.01
심창민,2021,삼성,"28,000",0.30
백정현,2021,삼성,"25,500",6.15
김상수,2021,삼성,"25,000",0.28
김동엽,2021,삼성,"21,000",-0.42
우규민,2021,삼성,"20,000",0.77
장필준,2021,삼성,"16,500",-0.48
김헌곤,2021,삼성,"16,000",1.08
최채흥,2021,삼성,"16,000",2.51
김대우,2021,삼성,"15,500",-0.03
이승현,2021,삼성,"15,000",-0.16
원태인,2021,삼성,"13,000",6.03
최지광,2021,삼성,"12,000",0.46
강한울,2021,삼성,"12,000",-0.44
임현준,2021,삼성,"10,000",0.01
오선진,2021,삼성,"10,000",-0.49
김윤수,2021,삼성,"8,000",-0.08
최영진,2021,삼성,"7,500",0.16
이학주,2021,삼성,"7,000",-0.44
이성규,2021,삼성,"7,000",0.00
노성호,2021,삼성,"7,000",0.38
김지찬,2021,삼성,"7,000",1.23
김호재,2021,삼성,"6,000",-0.04
박승규,2021,삼성,"5,700",1.03
김도환,2021,삼성,"5,200",-0.13
송준석,2021,삼성,"5,000",0.03
양창섭,2021,삼성,"5,000",-0.02
김재현,2021,삼성,"5,000",0.00
김응민,2021,삼성,"4,900",-0.05
백승민,2021,삼성,"4,700",-0.09
김민수,2021,삼성,"4,700",0.24
홍정우,2021,삼성,"4,500",0.13
허윤동,2021,삼성,"4,500",-0.14
최충연,2021,삼성,"4,500",0.00
장지훈,2021,삼성,"4,200",0.00
권정웅,2021,삼성,"4,000",-0.01
이상민,2021,삼성,"4,000",0.15
임대한,2021,삼성,"4,000",0.00
최선호,2021,삼성,"3,800",0.00
이승민,2021,삼성,"3,700",-0.11
안주형,2021,삼성,"3,300",0.01
양우현,2021,삼성,"3,300",0.00
김성표,2021,삼성,"3,300",0.24
김성윤,2021,삼성,"3,300",-0.56
한연욱,2021,삼성,"3,200",0.00
이재익,2021,삼성,"3,200",0.01
홍원표,2021,삼성,"3,100",0.00
황동재,2021,삼성,"3,100",0.00
김준우,2021,삼성,"3,100",0.00
박주혁,2021,삼성,"3,100",0.00
김경민,2021,삼성,"3,100",0.00
이수민,2021,삼성,"3,100",0.00
구준범,2021,삼성,"3,100",-0.10
이기용,2021,삼성,"3,000",0.00
김현준,2021,삼성,"3,000",-0.10
김동진,2021,삼성,"3,000",0.00
홍승원,2021,삼성,"3,000",0.00
김세민,2021,삼성,"3,000",0.00
이창용,2021,삼성,"3,000",0.00
이현동,2021,삼성,"3,000",0.00
주한울,2021,삼성,"3,000",0.00
이승현,2021,삼성,"3,000",0.47
이재희,2021,삼성,"3,000",0.49
홍무원,2021,삼성,"3,000",0.00
오현석,2021,삼성,"3,000",0.00
봉민호,2021,삼성,"3,000",0.00
이태훈,2021,삼성,"3,000",-0.04
김결의,2021,삼성,"3,000",0.00
박세웅,2021,삼성,"3,000",-0.07
문용익,2021,삼성,"3,000",0.25
김태수,2021,삼성,"3,000",0.00
조경원,2021,삼성,"3,000",0.00
이해승,2021,삼성,"3,000",0.00
허경민,2021,두산,"100,000",-1.19
김재환,2021,두산,"76,000",4.77
정수빈,2021,두산,"60,000",1.43
김재호,2021,두산,"60,000",0.52
페르난데스,2021,두산,"60,000",3.09
미란다,2021,두산,"55,000",7.49
로켓,2021,두산,"49,300",4.49
박건우,2021,두산,"48,000",4.95
유희관,2021,두산,"30,000",-0.63
오재원,2021,두산,"30,000",-0.28
박세혁,2021,두산,"26,000",0.61
양석환,2021,두산,"21,000",2.38
이영하,2021,두산,"19,000",-0.04
최원준,2021,두산,"16,000",4.88
박치국,2021,두산,"16,000",0.18
윤명준,2021,두산,"15,600",0.17
홍건희,2021,두산,"11,000",2.39
김강률,2021,두산,"11,000",1.81
이승진,2021,두산,"10,000",1.19
이형범,2021,두산,"9,000",-0.11
장원준,2021,두산,"8,000",-0.16
조수행,2021,두산,"7,500",1.33
이현승,2021,두산,"7,000",0.94
박계범,2021,두산,"7,000",2.75
김인태,2021,두산,"6,500",3.42
김민규,2021,두산,"5,500",0.13
강승호,2021,두산,"5,000",2.81
국해성,2021,두산,"5,000",-0.14
박정수,2021,두산,"4,500",-0.17
김명신,2021,두산,"4,500",0.13
신성현,2021,두산,"4,300",-0.31
장승현,2021,두산,"3,800",0.50
최용제,2021,두산,"3,800",0.39
백동훈,2021,두산,"3,600",0.08
권민석,2021,두산,"3,500",0.22
안권수,2021,두산,"3,500",0.42
박소준,2021,두산,"3,500",-0.08
서예일,2021,두산,"3,500",0.02
김민혁,2021,두산,"3,400",-0.07
남호,2021,두산,"3,300",-0.03
고봉재,2021,두산,"3,300",-0.03
권휘,2021,두산,"3,200",0.27
유재유,2021,두산,"3,200",-0.07
이교훈,2021,두산,"3,100",-0.13
오명진,2021,두산,"3,100",-0.25
박지훈,2021,두산,"3,100",0.26
이동원,2021,두산,"3,100",0.00
이주엽,2021,두산,"3,100",0.00
최세창,2021,두산,"3,100",0.06
황경태,2021,두산,"3,100",-0.08
문대원,2021,두산,"3,100",-0.01
조제영,2021,두산,"3,100",-0.27
강현구,2021,두산,"3,000",0.00
임태윤,2021,두산,"3,000",0.00
안재석,2021,두산,"3,000",0.99
최승용,2021,두산,"3,000",-0.01
김동주,2021,두산,"3,000",0.00
김도윤,2021,두산,"3,000",0.04
김도경,2021,두산,"3,000",0.00
박웅,2021,두산,"3,000",0.01
최종인,2021,두산,"3,000",0.00
양현진,2021,두산,"3,000",0.00
김주완,2021,두산,"3,000",0.00
백종수,2021,두산,"3,000",0.00
안찬호,2021,두산,"3,000",0.00
오세훈,2021,두산,"3,000",0.00
박성재,2021,두산,"3,000",-0.02
장빈,2021,두산,"3,000",0.00
이상연,2021,두산,"3,000",0.00
강원진,2021,두산,"3,000",0.00
곽빈,2021,두산,"3,000",2.45
전민재,2021,두산,"3,000",-0.08
박성모,2021,두산,"3,000",0.00
정우석,2021,두산,"3,000",0.00
현도훈,2021,두산,"3,000",-0.15
신창희,2021,두산,"3,000",0.00
지윤,2021,두산,"3,000",0.00
백민규,2021,두산,"3,000",0.00
이민혁,2021,두산,"3,000",0.00
장규빈,2021,두산,"3,000",0.00
김문수,2021,두산,"3,000",0.00
추신수,2021,SSG,"270,000",3.99
이재원,2021,SSG,"130,000",1.38
최정,2021,SSG,"120,000",7.04
로맥,2021,SSG,"90,000",1.46
폰트,2021,SSG,"85,000",4.09
최주환,2021,SSG,"65,000",2.52
르위키,2021,SSG,"55,000",0.47
박종훈,2021,SSG,"32,000",2.09
정의윤,2021,SSG,"30,000",-0.77
문승원,2021,SSG,"25,700",1.74
김성현,2021,SSG,"25,000",2.01
가빌리오,2021,SSG,"24,600",1.01
김강민,2021,SSG,"20,000",1.39
한유섬,2021,SSG,"18,000",3.88
서진용,2021,SSG,"17,000",1.27
김태훈,2021,SSG,"16,000",0.94
신재영,2021,SSG,"14,000",0.03
고종욱,2021,SSG,"11,000",-0.65
이태양,2021,SSG,"10,000",0.74
박민호,2021,SSG,"10,000",0.65
오태곤,2021,SSG,"9,500",0.99
최지훈,2021,SSG,"8,000",2.84
김세현,2021,SSG,"8,000",-0.08
최항,2021,SSG,"7,500",0.16
하재훈,2021,SSG,"7,000",0.43
이흥련,2021,SSG,"7,000",0.16
정영일,2021,SSG,"6,500",-0.02
김찬형,2021,SSG,"5,800",0.55
신재웅,2021,SSG,"5,500",0.10
김정빈,2021,SSG,"4,000",-0.30
정수민,2021,SSG,"3,600",0.10
조영우,2021,SSG,"3,300",0.57
유서준,2021,SSG,"3,100",-0.03
길지석,2021,SSG,"3,000",0.00
박시후,2021,SSG,"3,000",0.00
박정빈,2021,SSG,"3,000",0.00
이재성,2021,SSG,"3,000",0.00
박형준,2021,SSG,"3,000",0.00
전의산,2021,SSG,"3,000",0.00
강지광,2021,SSG,"3,000",-0.03
오준혁,2021,SSG,"3,000",-0.03
고명준,2021,SSG,"3,000",-0.08
조형우,2021,SSG,"3,000",0.00
김건우,2021,SSG,"3,000",0.25
장지훈,2021,SSG,"3,000",1.33
조병현,2021,SSG,"3,000",-0.09
장우준,2021,SSG,"3,000",0.00
조요한,2021,SSG,"3,000",-0.01
권혁찬,2021,SSG,"3,000",0.00
박제범,2021,SSG,"3,000",0.00
양선률,2021,SSG,"3,000",-0.06
조성훈,2021,SSG,"3,000",0.00
최민준,2021,SSG,"3,000",0.63
유호식,2021,SSG,"3,000",0.00
남태혁,2021,SK,"3,000",0.01
이채호,2021,SSG,"3,000",-0.08
최경태,2021,SSG,"3,000",0.00
김표승,2021,SSG,"3,000",0.00
서동민,2021,SSG,"3,000",0.17
이재록,2021,SSG,"3,000",0.00
이정범,2021,SSG,"3,000",-0.05
최수빈,2021,SSG,"3,000",0.00
임석진,2021,SSG,"3,000",0.00
김민재,2021,SSG,"3,000",0.00
김찬호,2021,SSG,"3,000",0.00
박성한,2021,SSG,"3,000",4.91
정동윤,2021,SSG,"3,000",0.08
현원회,2021,SSG,"3,000",0.00
이건욱,2021,SSG,"3,000",-0.31
김성민,2021,SSG,"3,000",0.00
류효승,2021,SSG,"3,000",0.00
김경호,2021,SSG,"3,000",0.00
신동민,2021,SSG,"3,000",0.00
김창평,2021,SSG,"3,000",-0.57
허민혁,2021,SSG,"3,000",0.00
채현우,2021,SSG,"3,000",0.00
김택형,2021,SSG,"3,000",2.27
이현석,2021,SSG,"3,000",0.39
허웅,2021,SSG,"3,000",0.00
김규남,2021,SSG,"3,000",-0.18
안상현,2021,SSG,"2,700",0.14
김주온,2021,SSG,"2,700",0.08
오원석,2021,SSG,"2,700",-0.06
김현수,2021,LG,"100,000",3.91
켈리,2021,LG,"70,000",5.63
라모스,2021,LG,"60,000",0.82
오지환,2021,LG,"60,000",4.45
수아레즈,2021,LG,"40,000",4.52
김민성,2021,LG,"40,000",2.71
차우찬,2021,LG,"30,000",0.23
유강남,2021,LG,"30,000",2.43
보어,2021,LG,"30,000",-0.46
채은성,2021,LG,"30,000",2.71
송은범,2021,LG,"27,000",0.54
진해수,2021,LG,"25,000",0.82
서건창,2021,LG,"22,500",3.06
임찬규,2021,LG,"22,000",1.79
이천웅,2021,LG,"19,000",-0.45
이형종,2021,LG,"18,000",0.62
정우영,2021,LG,"18,000",2.49
고우석,2021,LG,"18,000",2.52
함덕주,2021,LG,"16,500",0.26
정주현,2021,LG,"14,000",0.65
최동환,2021,LG,"12,000",-0.03
임정우,2021,LG,"10,500",0.00
김용의,2021,LG,"10,000",0.67
홍창기,2021,LG,"10,000",6.75
이상호,2021,LG,"9,000",-0.03
이성우,2021,LG,"8,000",-0.21
김대현,2021,LG,"8,000",-0.14
최성훈,2021,LG,"7,200",0.39
김지용,2021,LG,"7,000",0.17
이민호,2021,LG,"7,000",2.13
구본혁,2021,LG,"6,300",-0.08
신민재,2021,LG,"5,500",-0.08
안익훈,2021,LG,"5,500",-0.41
김호은,2021,LG,"5,000",-0.20
고효준,2021,LG,"5,000",-0.01
김윤식,2021,LG,"5,000",0.22
이정용,2021,LG,"5,000",1.31
이우찬,2021,LG,"5,000",-0.21
장준원,2021,LG,"4,500",-0.03
백승현,2021,LG,"4,000",0.64
이상규,2021,LG,"4,000",-0.03
김대유,2021,LG,"4,000",1.93
손호영,2021,LG,"3,700",-0.22
채지선,2021,LG,"3,500",0.14
류원석,2021,LG,"3,300",0.10
손주영,2021,LG,"3,300",-0.37
한선태,2021,LG,"3,200",0.00
한석현,2021,LG,"3,200",0.09
이재원,2021,LG,"3,200",0.75
김주성,2021,LG,"3,100",-0.16
오석주,2021,LG,"3,100",-0.05
김태형,2021,LG,"3,100",-0.02
이찬혁,2021,LG,"3,100",-0.02
김재성,2021,LG,"3,100",-0.58
이상영,2021,LG,"3,100",0.51
최민창,2021,LG,"3,100",0.00
문성주,2021,LG,"3,100",0.36
박재욱,2021,LG,"3,100",0.00
김유민,2021,LG,"3,000",0.00
김대현,2021,LG,"3,000",0.00
송승기,2021,LG,"3,000",0.00
박민호,2021,LG,"3,000",0.00
김형욱,2021,LG,"3,000",0.00
김지용,2021,LG,"3,000",0.00
이영빈,2021,LG,"3,000",0.26
조건희,2021,LG,"3,000",0.00
김진수,2021,LG,"3,000",0.04
강효종,2021,LG,"3,000",0.00
이믿음,2021,LG,"3,000",0.00
최우혁,2021,LG,"3,000",0.00
김기연,2021,LG,"3,000",0.00
배재준,2021,LG,"3,000",0.35
이동규,2021,LG,"3,000",0.00
임지섭,2021,LG,"3,000",0.00
이주형,2021,LG,"3,000",0.07
조용근,2021,LG,"3,000",0.00
하영진,2021,LG,"3,000",0.00
이정우,2021,LG,"3,000",0.00
함창건,2021,LG,"3,000",0.00
강민,2021,LG,"3,000",0.00
문보경,2021,LG,"3,000",1.78
임준형,2021,LG,"3,000",0.76
스트레일리,2021,롯데,"90,000",4.37
이대호,2021,롯데,"80,000",0.88
마차도,2021,롯데,"50,000",4.24
전준우,2021,롯데,"50,000",3.84
손아섭,2021,롯데,"50,000",2.73
민병헌,2021,롯데,"50,000",-0.69
안치홍,2021,롯데,"29,000",2.94
허문회,2021,롯데,"25,000",0.00
프랑코,2021,롯데,"24,500",2.10
노경은,2021,롯데,"20,000",-0.20
김원중,2021,롯데,"17,000",1.86
박세웅,2021,롯데,"16,500",5.23
구승민,2021,롯데,"15,000",1.38
박진형,2021,롯데,"12,000",-0.33
한동희,2021,롯데,"11,000",2.87
정훈,2021,롯데,"10,000",3.11
강윤구,2021,롯데,"10,000",-0.25
서준원,2021,롯데,"8,500",-0.30
진명호,2021,롯데,"7,500",0.20
오현택,2021,롯데,"7,500",-0.13
김건국,2021,롯데,"6,000",0.03
이병규,2021,롯데,"5,500",0.05
송승준,2021,롯데,"5,000",0.00
김대우,2021,롯데,"5,000",0.15
정성종,2021,롯데,"4,800",-0.08
이인복,2021,롯데,"4,800",1.24
안중열,2021,롯데,"4,700",1.86
김유영,2021,롯데,"4,500",-0.17
나균안,2021,롯데,"4,300",0.05
김재유,2021,롯데,"4,200",0.39
최준용,2021,롯데,"4,200",2.12
이승헌,2021,롯데,"4,200",0.73
정보근,2021,롯데,"3,700",-0.14
강로한,2021,롯데,"3,700",-0.10
강동호,2021,롯데,"3,500",0.00
지시완,2021,롯데,"3,500",1.36
최영환,2021,롯데,"3,500",0.24
신용수,2021,롯데,"3,400",-0.64
한승혁,2021,롯데,"3,400",-0.14
추재현,2021,롯데,"3,400",1.18
박선우,2021,롯데,"3,300",0.08
정태승,2021,롯데,"3,200",0.00
박영완,2021,롯데,"3,200",0.00
박명현,2021,롯데,"3,200",0.00
김민수,2021,롯데,"3,200",0.32
배성근,2021,롯데,"3,200",-0.51
강태율,2021,롯데,"3,200",-0.26
홍민기,2021,롯데,"3,100",0.00
최민재,2021,롯데,"3,100",-0.60
윤성빈,2021,롯데,"3,100",0.04
김주현,2021,롯데,"3,100",0.06
엄태호,2021,롯데,"3,100",0.00
권동현,2021,롯데,"3,000",0.00
김정주,2021,롯데,"3,000",0.00
우강훈,2021,롯데,"3,000",0.00
이병준,2021,롯데,"3,000",0.00
최우인,2021,롯데,"3,000",0.00
정우준,2021,롯데,"3,000",-0.02
손성빈,2021,롯데,"3,000",0.11
나승엽,2021,롯데,"3,000",-0.22
송재영,2021,롯데,"3,000",-0.30
김창훈,2021,롯데,"3,000",-0.17
김진욱,2021,롯데,"3,000",0.26
김도규,2021,롯데,"3,000",0.22
김동우,2021,롯데,"3,000",-0.07
이호연,2021,롯데,"3,000",0.09
장두성,2021,롯데,"3,000",-0.35
김강현,2021,롯데,"3,000",0.00
홍지훈,2021,롯데,"3,000",0.00
나원탁,2021,롯데,"3,000",-0.02
이강준,2021,롯데,"3,000",-0.16
박재민,2021,롯데,"3,000",-0.03
김동규,2021,롯데,"3,000",0.00
최종은,2021,롯데,"2,700",-0.01
이주찬,2021,롯데,"2,700",-0.16
정대혁,2021,롯데,"2,700",0.00
정우람,2021,한화,"80,000",-0.40
힐리,2021,한화,"50,000",0.63
이성열,2021,한화,"40,000",-0.07
카펜터,2021,한화,"30,000",2.79
페레즈,2021,한화,"30,000",0.72
최재훈,2021,한화,"26,000",4.84
킹험,2021,한화,"25,000",4.20
노수광,2021,한화,"17,300",0.17
장시환,2021,한화,"15,400",-0.34
하주석,2021,한화,"13,500",3.17
정은원,2021,한화,"12,000",4.46
정진호,2021,한화,"12,000",0.08
장민재,2021,한화,"10,000",0.41
김민우,2021,한화,"9,000",3.90
신정락,2021,한화,"8,000",-0.68
김진영,2021,한화,"7,900",0.05
강재민,2021,한화,"7,900",1.79
윤대경,2021,한화,"7,700",1.39
김범수,2021,한화,"6,500",0.50
김종수,2021,한화,"6,100",-0.11
이해창,2021,한화,"6,000",-0.30
노시환,2021,한화,"6,000",4.21
임준섭,2021,한화,"5,800",-0.35
이성곤,2021,한화,"5,400",0.90
김민하,2021,한화,"4,500",0.59
김이환,2021,한화,"4,100",-0.17
송윤준,2021,한화,"4,000",0.30
백용환,2021,한화,"4,000",-0.62
김진욱,2021,한화,"3,900",0.00
서균,2021,한화,"3,700",-0.08
임종찬,2021,한화,"3,600",-1.29
문동욱,2021,한화,"3,600",0.05
장운호,2021,한화,"3,500",0.92
박정현,2021,한화,"3,400",-0.18
조한민,2021,한화,"3,400",-0.33
최인호,2021,한화,"3,400",0.89
노태형,2021,한화,"3,400",-0.45
주현상,2021,한화,"3,300",0.67
이동훈,2021,한화,"3,300",-0.51
김기탁,2021,한화,"3,300",-0.17
박주홍,2021,한화,"3,300",-0.08
황영국,2021,한화,"3,300",-0.06
장웅정,2021,한화,"3,300",-0.10
오동욱,2021,한화,"3,300",-0.09
이도윤,2021,한화,"3,200",-0.44
유로결,2021,한화,"3,200",-0.94
박상언,2021,한화,"3,200",-0.02
김태연,2021,한화,"3,200",2.75
정기훈,2021,한화,"3,200",0.00
허관회,2021,한화,"3,100",-0.43
김현민,2021,한화,"3,100",-0.14
박한결,2021,한화,"3,100",0.00
김지수,2021,한화,"3,100",-0.18
윤호솔,2021,한화,"3,100",-0.11
이충호,2021,한화,"3,000",-0.19
정인욱,2021,한화,"3,000",-0.05
안창호,2021,한화,"3,000",0.00
최이경,2021,한화,"3,000",0.00
김승일,2021,한화,"3,000",0.00
장지승,2021,한화,"3,000",-0.52
김규연,2021,한화,"3,000",0.00
문승진,2021,한화,"3,000",0.00
이준기,2021,한화,"3,000",0.00
안진,2021,한화,"3,000",0.00
