순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,연도,연봉(만원),WAR,후년연봉,연차
15,전병우,키움,0.203,115,231,197,14,40,7,0,5,62,21,9,1,17,0,7,68,5,0.315,0.288,0.603,9,0.103,0.286,2022,7000,0.36,8000,5
11,전의산,SSG,0.249,77,266,241,36,60,15,1,13,116,45,0,1,24,3,0,84,6,0.481,0.316,0.797,15,0.323,0.3,2022,3000,0.47,9000,2
20,전의산,SSG,0.201,56,153,134,11,27,6,0,4,45,21,0,1,15,0,3,40,1,0.336,0.294,0.63,4,0.225,0.188,2023,9000,-0.22,8000,3
9,전준우,롯데,0.279,143,628,562,95,157,34,1,26,271,96,3,3,52,0,8,79,21,0.482,0.347,0.829,42,0.272,0.667,2020,50000,3.27,50000,13
1,전준우,롯데,0.348,144,619,552,88,192,46,0,7,259,92,1,8,53,0,5,71,10,0.469,0.405,0.874,53,0.416,0.6,2021,50000,3.84,50000,14
5,전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,0,9,35,1,3,73,14,0.445,0.35,0.795,45,0.285,0.25,2022,50000,1.55,50000,15
3,전준우,롯데,0.312,138,559,493,80,154,21,3,17,232,77,0,7,52,4,7,65,12,0.471,0.381,0.852,45,0.29,0.3,2023,50000,3.79,130000,16
21,정보근,롯데,0.15,85,152,133,9,20,2,0,0,22,5,6,1,11,0,1,32,7,0.165,0.219,0.384,3,0.129,0,2020,2900,-1.47,3700,2
9,정보근,롯데,0.278,11,20,18,0,5,0,0,0,5,0,0,0,2,0,0,2,1,0.278,0.35,0.628,1,0,0,2021,3700,-0.14,3400,3
17,정보근,롯데,0.191,95,226,199,8,38,2,0,1,43,15,10,1,14,0,2,55,4,0.216,0.25,0.466,6,0.208,0,2022,3400,-0.19,5900,4
1,정보근,롯데,0.333,55,101,81,11,27,6,1,1,38,13,4,1,14,0,1,13,1,0.469,0.433,0.902,6,0.28,0.167,2023,5900,1.86,7500,5
6,정수빈,두산,0.298,141,559,490,84,146,17,8,5,194,59,7,5,55,3,2,56,10,0.396,0.368,0.764,39,0.265,1,2020,34000,3.35,60000,12
10,정수빈,두산,0.259,104,351,313,50,81,19,4,3,117,37,4,2,29,1,3,50,7,0.374,0.326,0.7,19,0.301,0.25,2021,60000,1.43,60000,13
10,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4,39,1,1,56,2,0.331,0.323,0.654,29,0.237,0,2022,60000,1.97,60000,14
3,정수빈,두산,0.287,137,583,498,75,143,14,11,2,185,33,12,2,64,1,7,63,2,0.371,0.375,0.746,42,0.253,0.5,2023,60000,4.87,60000,15
13,정은원,한화,0.248,79,303,254,28,63,9,2,3,85,29,2,1,41,0,5,41,4,0.335,0.362,0.697,17,0.232,0.333,2020,12000,1.07,12000,3
2,정은원,한화,0.283,139,608,495,85,140,22,5,6,190,39,4,3,105,1,1,105,9,0.384,0.407,0.791,40,0.312,0.5,2021,12000,4.46,19080,4
4,정은원,한화,0.274,140,601,508,67,139,20,2,8,187,49,4,3,85,0,1,109,10,0.368,0.377,0.745,37,0.254,0.333,2022,19080,2.8,21800,5
15,정은원,한화,0.222,122,459,388,50,86,12,0,2,104,30,5,1,62,1,3,73,4,0.268,0.333,0.601,16,0.214,0,2023,21800,1.03,17800,6
3,정준영,KT,0.292,34,55,48,6,14,2,0,0,16,6,4,0,3,0,0,11,1,0.333,0.333,0.666,1,0.214,0.333,2023,3000,0.38,4200,1
5,정훈,롯데,0.295,111,476,410,72,121,19,1,11,175,58,2,4,56,0,4,85,8,0.427,0.382,0.809,36,0.357,0,2020,6400,2.29,10000,11
5,정훈,롯데,0.292,135,561,486,70,142,27,1,14,213,79,1,3,68,8,3,89,6,0.438,0.38,0.818,42,0.24,0.167,2021,10000,3.11,55000,12
9,정훈,롯데,0.245,91,340,294,39,72,8,0,3,89,32,6,6,32,0,2,66,6,0.303,0.317,0.62,18,0.235,0.231,2022,55000,-0.04,30000,13
9,정훈,롯데,0.279,80,233,201,40,56,14,0,6,88,31,4,2,26,1,0,39,4,0.438,0.358,0.796,15,0.305,0.375,2023,30000,0.22,30000,14
12,조수행,두산,0.263,44,40,38,12,10,0,0,0,10,4,0,0,2,0,0,6,0,0.263,0.3,0.563,2,0.4,0,2020,4500,-0.24,7500,5
4,조수행,두산,0.286,115,104,84,34,24,2,1,1,31,8,1,0,16,0,3,26,1,0.369,0.417,0.786,3,0.231,0.143,2021,7500,1.33,8500,6
19,조수행,두산,0.235,117,134,119,36,28,4,1,1,37,9,2,2,10,0,1,31,4,0.311,0.295,0.606,3,0.219,0,2022,8500,-0.31,7800,7
18,조수행,두산,0.219,126,249,219,41,48,2,1,1,55,17,4,1,23,0,2,38,2,0.251,0.298,0.549,11,0.236,0,2023,7800,0.49,9500,8
4,조용호,KT,0.296,132,482,409,73,121,15,0,0,136,32,5,2,64,1,2,83,6,0.333,0.392,0.725,29,0.317,0.364,2020,7000,2.68,13000,4
16,조용호,KT,0.236,138,515,428,71,101,14,1,0,117,48,5,5,74,0,3,85,8,0.273,0.349,0.622,27,0.33,0.143,2021,13000,-0.62,24000,5
3,조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3,49,3,3,74,3,0.382,0.374,0.756,39,0.293,0.2,2022,24000,3.92,32000,6
15,조용호,KT,0.248,63,184,161,20,40,2,0,0,42,7,0,0,23,0,0,25,3,0.261,0.342,0.603,9,0.196,0.364,2023,32000,0.03,15000,7
22,조형우,SSG,0.167,9,13,12,2,2,1,0,0,3,1,0,0,1,0,0,3,0,0.25,0.231,0.481,1,1,0,2022,3000,-0.09,3200,2
21,조형우,SSG,0.185,62,133,119,9,22,4,1,2,34,12,4,1,8,0,1,25,2,0.286,0.24,0.526,3,0.208,0,2023,3200,0.04,6300,3
21,주성원,키움,0.217,25,72,69,7,15,2,1,0,19,2,1,1,1,0,0,18,1,0.275,0.225,0.5,4,0.071,0.25,2023,3100,-0.47,3500,5
7,채은성,LG,0.293,109,464,416,59,122,17,2,15,188,88,0,7,32,1,9,69,12,0.452,0.351,0.803,35,0.352,0.2,2020,32000,1.99,30000,7
5,채은성,LG,0.276,110,448,387,59,107,20,0,16,175,82,0,7,38,2,16,80,9,0.452,0.359,0.811,27,0.317,0.167,2021,30000,2.71,28000,8
5,채은성,한화,0.263,137,596,521,71,137,17,0,23,223,84,0,3,52,8,20,102,16,0.428,0.351,0.779,39,0.311,0,2023,180000,2.36,100000,10
15,천성호,KT,0.203,66,77,69,9,14,3,0,0,17,1,0,0,7,0,1,15,0,0.246,0.286,0.532,2,0.167,0,2020,2700,-0.5,4000,1
7,천성호,KT,0.286,41,47,42,13,12,1,0,0,13,4,0,0,3,0,2,9,0,0.31,0.362,0.672,2,0.25,0.111,2021,4000,0,4400,2
22,천재환,NC,0.143,29,36,35,4,5,1,0,1,9,1,0,0,0,0,1,11,1,0.257,0.167,0.424,0,0,0.286,2022,3000,-0.63,3100,1
12,천재환,NC,0.239,78,179,163,12,39,7,1,2,54,17,2,2,8,0,4,44,5,0.331,0.288,0.619,9,0.224,0,2023,3100,0.31,5000,2
4,최경모,SSG,0.301,98,75,73,16,22,2,0,0,24,4,1,0,1,0,0,18,1,0.329,0.311,0.64,5,0.333,0.5,2022,3000,0.5,5000,4
23,최경모,SSG,0.15,28,20,20,6,3,0,0,0,3,1,0,0,0,0,0,5,0,0.15,0.15,0.3,0,0.167,0,2023,5000,-0.45,3700,5
27,최상민,SSG,0.071,27,18,14,3,1,0,0,0,1,1,1,0,3,0,0,4,0,0.071,0.235,0.306,0,0,0,2022,3000,0,3000,1
15,최상민,SSG,0.235,51,41,34,5,8,0,0,0,8,3,2,1,4,0,0,7,0,0.235,0.308,0.543,2,0.182,0,2023,3000,0.34,3200,2
16,최승민,NC,0.226,48,34,31,8,7,1,0,0,8,1,2,0,1,0,0,7,0,0.258,0.25,0.508,1,0.1,0,2021,3000,0.28,3300,5
21,최승민,LG,0.071,38,15,14,10,1,0,0,0,1,1,0,0,1,0,0,4,1,0.071,0.133,0.204,0,0.2,0,2023,3300,-0.12,4000,7
6,최원준,KIA,0.326,123,412,359,72,117,16,6,2,151,35,9,5,33,0,6,35,1,0.421,0.387,0.808,30,0.364,0.6,2020,7000,1.08,13000,5
13,최원준,KIA,0.255,67,274,239,37,61,11,2,1,79,23,4,0,31,0,0,39,5,0.331,0.341,0.672,17,0.328,0,2023,22000,0.82,22000,8
14,최인호,한화,0.236,47,135,127,8,30,0,0,0,30,8,1,2,4,0,1,34,3,0.236,0.261,0.497,7,0.226,0.222,2020,2700,-0.78,3400,1
2,최인호,한화,0.298,41,148,131,23,39,5,3,2,56,11,2,1,10,0,4,22,2,0.427,0.363,0.79,10,0.24,0.25,2023,3800,1.49,4800,4
4,최재훈,한화,0.301,126,389,339,46,102,19,0,3,130,36,5,0,29,0,16,44,7,0.383,0.383,0.766,19,0.325,0.3,2020,20000,3.52,26000,13
3,최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,5,3,72,2,12,68,16,0.387,0.405,0.792,29,0.275,0,2021,26000,4.84,100000,14
15,최재훈,한화,0.223,114,437,364,38,81,14,0,5,110,30,5,2,44,0,21,65,17,0.302,0.339,0.641,19,0.263,0.5,2022,100000,3.25,80000,15
9,최재훈,한화,0.248,125,417,327,23,81,12,0,1,96,33,9,2,56,1,23,48,9,0.294,0.392,0.686,19,0.247,0.25,2023,80000,3.9,60000,16
9,최정,SSG,0.27,133,553,452,90,122,22,0,33,243,96,0,6,75,1,20,98,7,0.538,0.392,0.93,32,0.276,0.5,2020,120000,5.33,120000,16
6,최정,SSG,0.278,134,555,436,92,121,17,1,35,245,100,1,12,84,3,22,102,9,0.562,0.41,0.972,28,0.281,0.6,2021,120000,7.04,120000,17
7,최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,0,6,66,3,19,96,6,0.505,0.386,0.891,27,0.292,0.5,2022,120000,5.71,100000,18
4,최정,SSG,0.297,128,552,471,94,140,31,0,29,258,87,1,6,59,6,15,87,12,0.548,0.388,0.936,39,0.264,0,2023,100000,4.85,100000,19
14,최정원,NC,0.275,49,48,40,18,11,3,1,0,16,2,1,0,7,0,0,13,1,0.4,0.383,0.783,0,0.222,0.429,2020,2700,0.18,3300,1
10,최정원,NC,0.26,39,56,50,12,13,3,2,0,20,5,2,0,1,0,3,13,1,0.4,0.315,0.715,3,0.375,0,2023,6600,0.47,6600,4
14,최주환,SSG,0.256,116,470,406,50,104,16,0,18,174,67,0,2,53,4,9,84,7,0.429,0.353,0.782,29,0.284,0.167,2021,65000,2.52,65000,16
20,최주환,SSG,0.211,97,333,298,36,63,14,2,9,108,41,0,2,29,2,4,55,5,0.362,0.288,0.65,15,0.195,0.125,2022,65000,-0.39,65000,17
10,최준우,SSG,0.25,10,16,12,0,3,0,0,0,3,1,0,1,3,0,0,3,0,0.25,0.375,0.625,1,0,0.333,2022,4500,0.06,4500,5
9,최준우,SSG,0.267,38,69,60,5,16,1,0,0,17,6,0,1,8,0,0,10,3,0.283,0.348,0.631,4,0.294,0.333,2023,4500,0.64,4500,6
11,최지훈,SSG,0.258,127,520,466,66,120,19,5,1,152,27,8,3,38,0,5,80,4,0.326,0.318,0.644,30,0.218,1,2020,2700,1.71,8000,1
12,최지훈,SSG,0.262,136,534,461,75,121,19,6,5,167,45,8,6,51,0,8,71,6,0.362,0.342,0.704,30,0.255,0.333,2021,8000,2.84,15000,2
2,최지훈,SSG,0.304,144,640,569,93,173,32,4,10,243,61,13,4,47,0,7,77,7,0.427,0.362,0.789,43,0.362,1,2022,15000,6.49,30000,3
7,최지훈,SSG,0.268,117,503,462,65,124,19,8,2,165,30,8,1,29,0,3,50,3,0.357,0.315,0.672,31,0.223,0,2023,30000,1.55,25000,4
10,최항,SSG,0.265,47,155,132,21,35,3,0,2,44,15,0,1,21,1,1,27,3,0.333,0.368,0.701,6,0.229,0.333,2020,7500,1.23,7500,4
7,최항,SSG,0.275,34,79,69,5,19,2,1,0,23,7,1,1,6,1,2,16,4,0.333,0.346,0.679,6,0.267,0.444,2021,7500,0.16,4000,5
26,최항,SSG,0.1,15,24,20,0,2,0,0,0,2,1,0,1,2,0,1,7,0,0.1,0.208,0.308,1,0,0,2022,4000,-0.26,3100,6
2,최형우,KIA,0.354,140,600,522,93,185,37,1,28,308,115,0,3,70,5,5,101,9,0.59,0.433,1.023,55,0.374,1,2020,150000,6.59,90000,19
13,최형우,KIA,0.233,104,446,373,52,87,15,1,12,140,55,0,2,67,10,4,67,9,0.375,0.354,0.729,22,0.264,0.333,2021,90000,1.51,90000,20
13,최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2,73,5,1,92,9,0.421,0.366,0.787,33,0.282,0.286,2022,90000,3.3,90000,21
5,최형우,KIA,0.302,121,508,431,64,130,27,1,17,210,81,0,4,65,1,8,83,5,0.487,0.4,0.887,35,0.317,0.667,2023,90000,3.93,100000,22
11,추신수,SSG,0.265,137,580,461,84,122,19,2,21,208,69,0,4,103,4,12,123,8,0.451,0.409,0.86,34,0.274,0.222,2021,270000,3.99,270000,22
9,추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,2,4,71,1,13,100,6,0.43,0.382,0.812,29,0.299,0.25,2022,270000,3.13,170000,23
12,추신수,SSG,0.254,112,462,382,65,97,17,1,12,152,41,0,2,65,1,13,79,8,0.398,0.379,0.777,24,0.26,0.3,2023,170000,1.46,3000,24
19,하재훈,SSG,0.215,60,114,107,18,23,6,1,6,49,13,0,2,4,0,1,40,0,0.458,0.246,0.704,2,0.172,0.278,2022,5300,0.07,5500,14
3,하재훈,SSG,0.303,77,229,201,35,61,10,1,7,94,35,2,2,19,1,5,53,0,0.468,0.374,0.842,16,0.327,0.167,2023,5500,2.79,10000,15
6,하주석,한화,0.286,72,281,262,22,75,11,0,2,92,32,2,2,13,0,2,66,3,0.351,0.323,0.674,20,0.306,0,2020,14000,0.43,13500,9
4,하주석,한화,0.272,138,594,525,84,143,27,3,10,206,68,5,3,51,1,10,135,9,0.392,0.346,0.738,39,0.269,0,2021,13500,3.17,20090,10
7,하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,1,3,31,1,3,126,4,0.342,0.309,0.651,29,0.255,0.75,2022,20090,0.96,10000,11
26,하주석,한화,0.114,25,38,35,4,4,1,0,0,5,2,0,0,2,0,1,10,0,0.143,0.184,0.327,0,0.167,0.2,2023,10000,-0.58,7000,12
10,한동희,롯데,0.278,135,531,461,62,128,22,0,17,201,67,5,3,57,0,5,97,15,0.436,0.361,0.797,34,0.243,0.5,2020,4700,2.74,11000,3
10,한동희,롯데,0.267,129,496,424,54,113,24,0,17,188,69,1,4,61,1,6,95,21,0.443,0.364,0.807,32,0.252,0.5,2021,11000,2.87,17200,4
4,한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,0,4,33,2,6,64,15,0.458,0.359,0.817,41,0.278,0.444,2022,17200,2.14,19260,5
19,한동희,롯데,0.223,108,353,319,30,71,11,0,5,97,32,2,5,26,0,1,58,16,0.304,0.279,0.583,10,0.238,0.471,2023,19260,-2.48,16200,6
3,한석현,LG,0.286,16,26,21,5,6,2,1,0,10,1,0,1,3,0,1,7,1,0.476,0.385,0.861,1,0,0.5,2021,3200,0.09,3900,2
21,한석현,NC,0.2,27,66,60,5,12,1,0,0,13,2,2,0,4,0,0,20,2,0.217,0.25,0.467,3,0.333,0.2,2023,3900,-0.18,3900,4
20,한승택,KIA,0.226,83,262,226,22,51,6,0,9,84,29,9,0,21,0,6,58,7,0.372,0.308,0.68,11,0.222,0,2020,8000,1.1,8500,8
16,한승택,KIA,0.217,82,239,203,17,44,7,0,3,60,16,5,0,28,0,3,61,6,0.296,0.321,0.617,8,0.213,0,2021,8500,1.25,8500,9
18,한승택,KIA,0.176,66,119,102,11,18,2,0,1,23,12,4,1,9,0,3,30,2,0.225,0.261,0.486,3,0.16,0.25,2022,8500,0.24,8000,10
23,한승택,KIA,0.129,49,104,85,6,11,2,0,0,13,3,6,0,11,0,2,32,1,0.153,0.245,0.398,2,0.13,0,2023,8000,-0.45,6500,11
5,한유섬,SSG,0.278,135,519,442,71,123,18,1,31,236,95,1,6,60,4,10,96,11,0.534,0.373,0.907,33,0.304,0.429,2021,18000,3.88,240000,10
8,한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,0,5,66,6,16,137,8,0.478,0.372,0.85,31,0.284,0.111,2022,240000,4.46,50000,11
6,한유섬,SSG,0.273,109,388,333,29,91,15,2,7,131,55,2,7,34,1,12,81,3,0.393,0.355,0.748,20,0.333,0.063,2023,50000,0.35,90000,12
12,한준수,KIA,0.256,48,94,86,9,22,4,0,2,32,12,1,0,7,0,0,26,2,0.372,0.312,0.684,5,0.25,0.2,2023,3100,0.63,5000,6
2,허경민,두산,0.332,117,487,437,70,145,25,1,7,193,58,3,7,35,2,5,28,10,0.442,0.382,0.824,45,0.375,0,2020,48000,4.21,100000,12
6,허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,3,3,36,1,8,35,21,0.365,0.338,0.703,34,0.285,0.444,2021,100000,-1.19,120000,13
6,허경민,두산,0.289,121,493,432,59,125,23,0,8,172,60,2,7,36,3,16,40,12,0.398,0.36,0.758,33,0.317,0,2022,120000,2.08,120000,14
6,허경민,두산,0.268,130,475,429,44,115,23,1,7,161,48,0,5,35,3,6,26,6,0.375,0.328,0.703,26,0.224,0.667,2023,120000,2.35,60000,15
9,허도환,KT,0.264,52,62,53,2,14,1,0,0,15,5,1,0,6,0,2,15,2,0.283,0.361,0.644,2,0.333,0.2,2020,6500,-0.24,7500,15
12,허도환,LG,0.247,64,92,85,7,21,5,0,1,29,6,3,0,2,0,2,26,2,0.341,0.281,0.622,5,0.174,0,2022,10000,-0.21,10000,16
18,허도환,LG,0.141,47,81,64,8,9,3,0,2,18,10,7,1,3,0,6,20,3,0.281,0.243,0.524,1,0.333,0,2023,10000,-0.58,10000,17
26,홍성호,두산,0.167,12,19,18,3,3,0,0,0,3,0,0,0,1,0,0,7,1,0.167,0.211,0.378,1,0,0,2022,3000,-0.35,3100,7
2,홍성호,두산,0.292,21,51,48,6,14,4,0,0,18,5,0,0,2,0,1,14,0,0.375,0.333,0.708,5,0.231,0,2023,3100,-0.26,3300,8
12,홍종표,KIA,0.25,40,88,80,7,20,3,0,0,23,7,3,1,4,0,0,13,1,0.288,0.282,0.57,4,0.115,0,2020,2700,-0.09,3300,1
25,홍종표,KIA,0,40,12,7,10,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0.364,0.364,0,0,0,2023,3300,0.12,3500,4
8,홍창기,LG,0.279,135,507,408,87,114,29,6,5,170,39,3,3,83,1,10,87,8,0.417,0.411,0.828,31,0.266,0.143,2020,3800,5.1,10000,5
1,홍창기,LG,0.328,144,651,524,103,172,26,2,4,214,52,0,2,109,4,16,95,6,0.408,0.456,0.864,57,0.343,0.5,2021,10000,6.75,32000,6
6,홍창기,LG,0.286,118,525,437,76,125,19,4,1,155,51,5,5,59,0,19,75,11,0.355,0.39,0.745,34,0.385,0,2022,32000,4,30000,7
2,홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,3,6,88,3,22,83,6,0.412,0.444,0.856,58,0.361,0.5,2023,30000,7.91,51000,8
25,홍현빈,KT,0.182,43,12,11,8,2,0,0,0,2,0,1,0,0,0,0,8,0,0.182,0.182,0.364,0,0,0,2021,3400,-0.09,4000,5
15,홍현빈,KT,0.237,61,92,76,8,18,2,0,0,20,1,6,0,10,0,0,26,1,0.263,0.326,0.589,2,0.087,1,2022,4000,0.91,4800,6
16,홍현빈,KT,0.233,44,86,73,15,17,2,0,0,19,1,0,0,13,0,0,21,2,0.26,0.349,0.609,4,0.067,0,2023,4800,0.18,4500,7
10,황대인,KIA,0.276,63,138,116,14,32,4,0,4,48,16,0,1,21,0,0,29,5,0.414,0.384,0.798,7,0.258,0.444,2020,3000,0.75,4300,6
9,황대인,KIA,0.238,86,308,282,30,67,10,1,13,118,45,1,5,18,0,2,62,8,0.418,0.283,0.701,18,0.205,0.364,2021,4300,-0.92,6500,7
14,황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5,36,2,7,92,20,0.401,0.315,0.716,34,0.296,0,2022,6500,-0.1,13000,8
16,황대인,KIA,0.213,60,199,174,19,37,4,0,5,56,26,0,3,18,2,4,50,6,0.322,0.296,0.618,7,0.259,0,2023,13000,-0.22,8000,9
6,황성빈,롯데,0.294,102,353,320,62,94,12,4,1,117,16,7,2,22,0,2,55,2,0.366,0.341,0.707,22,0.241,0.25,2022,3000,-0.08,7200,1
20,황성빈,롯데,0.212,74,191,170,22,36,5,2,0,45,8,8,0,12,0,1,27,1,0.265,0.268,0.533,10,0.244,0.2,2023,7200,0.4,7600,2
3,황재균,KT,0.312,134,600,541,108,169,35,5,21,277,97,3,4,47,0,5,98,12,0.512,0.37,0.882,49,0.324,0.5,2020,120000,5.7,80000,15
5,황재균,KT,0.291,117,507,453,74,132,16,2,10,182,56,1,4,46,1,3,92,11,0.402,0.358,0.76,37,0.289,0,2021,80000,2.93,40000,16
9,황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2,53,5,5,99,17,0.38,0.335,0.715,36,0.303,0,2022,40000,1.86,100000,17
2,황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,1,45,1,1,64,15,0.413,0.366,0.779,35,0.314,0,2023,100000,3.24,100000,18
