순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,연도,연봉(만원),WAR,후년연봉,연차
11,오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,0,7,57,8,2,133,7,0.491,0.345,0.836,31,0.304,0.333,2022,60000,2.42,50000,18
4,오지환,LG,0.3,141,591,527,95,158,41,7,10,243,71,5,5,45,1,9,116,4,0.461,0.362,0.823,41,0.293,0.333,2020,60000,7.41,60000,12
6,오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,4,5,54,0,5,82,11,0.356,0.335,0.691,30,0.248,0.25,2021,60000,4.45,60000,13
7,오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,3,3,62,2,7,107,11,0.47,0.357,0.827,35,0.32,1,2022,60000,6.99,60000,14
11,오지환,LG,0.268,126,502,422,65,113,24,3,8,167,62,4,4,64,0,8,82,4,0.396,0.371,0.767,25,0.298,0.333,2023,60000,5.14,30000,15
6,오태곤,SSG,0.274,94,258,234,36,64,12,1,5,93,35,4,0,13,0,7,47,6,0.397,0.331,0.728,16,0.387,0.083,2020,8300,0.61,9500,11
8,오태곤,SSG,0.268,122,253,235,47,63,10,0,9,100,35,1,1,14,0,2,52,4,0.426,0.313,0.739,12,0.224,0.167,2021,9500,0.99,10500,12
12,오태곤,SSG,0.232,130,295,263,48,61,14,1,4,89,23,5,3,15,1,9,68,3,0.338,0.293,0.631,15,0.257,0.286,2022,10500,1.18,10000,13
14,오태곤,SSG,0.239,123,305,272,37,65,14,1,7,102,28,8,3,18,0,4,67,6,0.375,0.293,0.668,17,0.192,0.4,2023,10000,0.56,25000,14
13,유강남,LG,0.261,137,478,429,51,112,18,0,16,178,74,2,2,32,1,13,84,18,0.415,0.33,0.745,23,0.352,0.375,2020,23000,1.37,30000,10
8,유강남,LG,0.252,130,441,397,39,100,16,0,11,149,60,3,2,25,1,14,75,11,0.375,0.317,0.692,22,0.254,0.5,2021,30000,2.43,27000,11
12,유강남,롯데,0.261,121,403,352,45,92,13,0,10,135,55,2,4,37,1,8,64,13,0.384,0.342,0.726,18,0.276,0.2,2023,60000,4.09,100000,13
25,유로결,한화,0.143,34,112,98,11,14,5,0,1,22,7,2,2,8,0,2,39,2,0.224,0.218,0.442,2,0.08,0,2021,3200,-0.94,3300,3
23,유로결,한화,0.133,30,68,60,5,8,0,0,0,8,4,3,0,4,0,1,9,1,0.133,0.2,0.333,1,0.235,0,2022,3300,-0.91,3300,4
23,유로결,한화,0.146,27,53,48,5,7,1,0,0,8,5,1,2,1,0,1,10,3,0.167,0.173,0.34,1,0.125,0,2023,3300,-0.45,3300,5
21,윤동희,롯데,0.154,4,13,13,1,2,1,0,0,3,1,0,0,0,0,0,2,1,0.231,0.154,0.385,1,0,0,2022,3000,-0.36,3300,1
7,윤동희,롯데,0.287,107,423,387,45,111,18,1,2,137,41,2,5,28,0,1,69,10,0.354,0.333,0.687,29,0.262,0.222,2023,3300,0.88,9000,2
26,윤정빈,삼성,0.147,28,43,34,5,5,0,0,1,8,3,0,0,7,0,2,12,1,0.235,0.326,0.561,1,0,0.333,2023,3200,-0.12,3700,6
2,윤형준,NC,0.297,51,81,74,10,22,0,0,5,37,10,3,1,3,0,0,17,2,0.5,0.321,0.821,2,0.083,0.31,2021,3000,-0.18,4000,9
16,윤형준,NC,0.209,35,69,67,5,14,1,0,1,18,5,0,0,1,0,1,21,1,0.269,0.232,0.501,2,0.333,0.267,2022,4000,-0.24,4000,10
11,윤형준,NC,0.252,82,236,218,17,55,12,1,5,84,27,2,3,10,0,3,58,6,0.385,0.291,0.676,12,0.28,0.188,2023,4000,0.4,6500,11
