순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,연도,현재연봉,WAR_x,예측연봉,tier,salary_changed,mean_ERA,park_factor
16,장필준,삼성,5.75,31,0,3,0,4,0.0,36.0,46.0,6,16,0,26,24,23,1.72,0,0,0,0,170,666,0.303,9,0,2,0,0,5,0,2020,21500.0,0.25,16500.0,3.0,-5000.0,4.756261441365127,1058
18,우규민,삼성,6.19,52,3,3,7,11,0.5,48.0,61.0,3,9,1,30,34,33,1.46,0,0,0,2,210,780,0.31,10,1,2,1,1,0,0,2020,70000.0,0.17,20000.0,3.0,-50000.0,4.756261441365127,1058
5,김강률,두산,2.09,50,3,0,21,3,1.0,51.0,0.6,54,25,1,41,15,12,1.53,0,0,0,7,230,838,0.271,7,2,2,3,4,4,0,2021,11000.0,1.81,22500.0,3.0,11500.0,4.438151658767772,944
6,미란다,두산,2.33,28,14,5,0,0,0.737,173.0,0.6,135,63,1,225,49,45,1.14,1,1,21,0,709,2918,0.212,21,1,3,4,0,7,1,2021,55000.0,7.49,160000.0,0.0,105000.0,4.438151658767772,944
8,홍건희,두산,2.78,65,6,6,3,17,0.5,74.0,0.3,65,27,0,82,23,23,1.24,0,0,0,5,303,1272,0.239,11,0,2,2,0,7,1,2021,11000.0,2.39,25000.0,4.0,14000.0,4.438151658767772,944
10,최원준,두산,3.3,29,12,4,0,0,0.75,158.0,0.3,160,37,10,113,65,58,1.24,0,0,15,0,673,2677,0.26,31,4,6,4,1,0,0,2021,16000.0,4.88,34000.0,0.0,18000.0,4.438151658767772,944
11,이승진,두산,3.91,47,1,4,2,13,0.2,48.0,0.3,41,31,2,28,24,21,1.49,0,0,0,0,210,834,0.238,3,0,3,2,2,2,2,2021,10000.0,1.19,11000.0,3.0,1000.0,4.438151658767772,944
14,곽빈,두산,4.1,21,4,7,0,0,0.364,98.0,0.6,78,79,12,96,50,45,1.59,0,0,1,0,455,1877,0.221,17,3,8,3,0,6,1,2021,3000.0,2.45,6500.0,2.0,3500.0,4.438151658767772,944
15,김명신,두산,4.3,58,3,2,0,2,0.6,67.0,72.0,6,14,6,43,37,32,1.28,0,0,0,1,289,1092,0.279,14,3,5,6,1,1,0,2021,4500.0,0.13,10000.0,1.0,5500.0,4.438151658767772,944
16,윤명준,두산,4.73,45,1,0,0,1,1.0,45.0,0.6,53,20,4,26,28,24,1.6,0,0,0,0,208,760,0.303,6,0,6,3,2,1,1,2021,15600.0,0.17,14000.0,3.0,-1600.0,4.438151658767772,944
18,박소준,두산,5.73,22,0,4,0,0,0.0,59.0,0.6,69,29,3,33,42,38,1.64,0,0,0,0,274,1083,0.292,10,1,0,6,0,3,0,2021,3500.0,-0.08,4500.0,1.0,1000.0,4.438151658767772,944
20,이영하,두산,6.29,35,5,6,1,2,0.455,78.0,0.6,81,57,1,53,58,55,1.75,0,0,1,0,364,1381,0.273,18,0,5,4,0,7,0,2021,19000.0,-0.04,16000.0,4.0,-3000.0,4.438151658767772,944
4,강재민,한화,2.13,58,2,1,5,13,0.667,63.0,0.3,51,26,5,55,16,15,1.22,0,0,0,6,269,1159,0.22,13,0,3,3,3,1,1,2021,7900.0,1.79,15000.0,1.0,7100.0,4.438151658767772,980
6,킹험,한화,3.19,25,10,8,0,0,0.556,144.0,117.0,11,41,5,131,58,51,1.1,0,0,15,0,591,2356,0.219,22,0,5,5,1,4,2,2021,25000.0,4.2,70000.0,0.0,45000.0,4.438151658767772,980
8,주현상,한화,3.58,43,2,2,0,4,0.5,50.0,0.3,46,21,1,33,21,20,1.33,0,0,0,0,218,925,0.241,6,3,3,2,2,6,0,2021,3300.0,0.67,5080.0,1.0,1780.0,4.438151658767772,980
10,윤대경,한화,3.94,43,2,5,0,7,0.286,77.0,0.6,73,34,6,54,35,34,1.38,0,0,0,0,337,1291,0.247,13,0,2,0,2,3,0,2021,7700.0,1.39,9730.0,4.0,2030.0,4.438151658767772,980
11,카펜터,한화,3.97,31,5,12,0,0,0.294,170.0,150.0,16,72,19,179,90,75,1.31,0,0,12,0,746,2999,0.234,21,3,8,5,0,7,1,2021,30000.0,2.79,35000.0,0.0,5000.0,4.438151658767772,980
12,김민우,한화,4.0,29,14,10,0,0,0.583,155.0,0.3,131,76,7,125,71,69,1.33,0,0,11,0,662,2666,0.23,23,1,4,6,1,5,1,2021,9000.0,3.9,19100.0,0.0,10100.0,4.438151658767772,980
14,윤호솔,한화,4.62,55,3,0,0,8,1.0,48.0,0.6,41,30,3,42,29,25,1.46,0,0,0,0,214,841,0.233,13,2,1,4,1,3,0,2021,3100.0,-0.11,6350.0,3.0,3250.0,4.438151658767772,980
15,김기중,한화,4.7,15,2,4,0,0,0.333,53.0,0.6,63,36,4,36,32,28,1.84,0,0,1,0,260,1040,0.294,10,1,2,4,2,0,2,2021,3000.0,0.38,3900.0,1.0,900.0,4.438151658767772,980
16,김종수,한화,4.82,49,1,1,0,6,0.5,46.0,0.6,34,32,3,38,29,25,1.41,0,0,0,0,208,925,0.202,10,0,1,4,0,2,0,2021,6100.0,-0.11,7900.0,1.0,1800.0,4.438151658767772,980
18,김범수,한화,5.22,56,4,9,1,9,0.308,70.0,0.6,68,42,2,70,44,41,1.56,0,0,0,5,319,1337,0.253,11,2,2,4,1,8,1,2021,6500.0,0.5,9680.0,4.0,3180.0,4.438151658767772,980
21,정우람,한화,5.64,50,1,4,15,1,0.2,44.0,0.6,47,20,5,32,29,28,1.5,0,0,0,5,199,817,0.28,5,0,4,2,2,0,0,2021,80000.0,-0.4,80000.0,3.0,0.0,4.438151658767772,980
24,장시환,한화,7.04,19,0,11,0,1,0.0,69.0,87.0,4,48,6,47,62,54,1.96,1,0,1,0,342,1329,0.306,12,1,1,3,2,7,0,2021,15400.0,-0.34,21000.0,4.0,5600.0,4.438151658767772,980
4,정해영,KIA,2.2,64,5,4,34,0,0.556,65.0,0.3,49,28,4,49,18,16,1.18,0,0,0,4,272,1094,0.21,10,0,4,3,1,1,0,2021,7000.0,2.56,17000.0,1.0,10000.0,4.438151658767772,999
6,장현식,KIA,3.29,69,1,5,1,34,0.167,76.0,0.6,67,42,3,80,28,28,1.42,0,0,0,5,336,1307,0.238,7,1,7,2,1,8,0,2021,10500.0,2.43,20000.0,4.0,9500.0,4.438151658767772,999
11,이의리,KIA,3.61,19,4,5,0,0,0.444,94.0,0.6,69,56,2,93,42,38,1.32,0,0,4,0,404,1643,0.204,11,0,4,4,0,5,0,2021,3000.0,2.8,9000.0,4.0,6000.0,4.438151658767772,999
12,김재열,KIA,3.86,24,1,0,0,0,1.0,32.0,0.6,28,18,4,18,18,14,1.41,0,0,0,0,152,568,0.231,4,0,5,4,0,1,2,2021,3200.0,0.25,3900.0,3.0,700.0,4.438151658767772,999
13,윤중현,KIA,3.92,30,5,6,0,2,0.455,82.0,0.6,91,31,14,33,44,36,1.48,0,0,1,0,373,1415,0.284,7,1,3,5,0,2,0,2021,3000.0,1.42,6500.0,4.0,3500.0,4.438151658767772,999
15,홍상삼,KIA,4.75,49,4,1,0,12,0.8,36.0,33.0,6,19,3,33,19,19,1.44,0,0,0,0,160,606,0.248,9,0,1,4,2,4,0,2021,9000.0,-0.13,10000.0,3.0,1000.0,4.438151658767772,999
16,임기영,KIA,4.88,28,8,8,0,0,0.5,153.0,155.0,15,45,11,129,85,83,1.31,0,0,13,0,662,2522,0.262,29,1,6,8,0,6,2,2021,10000.0,3.27,14000.0,0.0,4000.0,4.438151658767772,999
19,이준영,KIA,5.55,50,3,2,1,9,0.6,35.0,0.6,30,19,0,26,25,22,1.37,0,0,0,1,159,645,0.221,5,0,2,2,1,3,0,2021,6000.0,-0.01,6700.0,3.0,700.0,4.438151658767772,999
21,박준표,KIA,5.91,32,2,4,0,4,0.333,32.0,42.0,3,17,9,18,24,21,1.84,0,0,0,2,158,571,0.326,9,1,2,1,0,0,0,2021,16000.0,-0.17,12500.0,3.0,-3500.0,4.438151658767772,999
22,박진태,KIA,5.95,59,3,3,0,9,0.5,65.0,68.0,6,36,13,45,44,43,1.6,0,0,0,0,305,1261,0.272,10,0,2,4,0,5,0,2021,5000.0,0.0,6000.0,4.0,1000.0,4.438151658767772,999
23,서덕원,KIA,7.44,24,1,0,0,1,1.0,32.0,0.6,36,14,0,24,28,27,1.53,0,0,0,0,148,620,0.277,8,1,2,2,0,5,0,2021,3100.0,-0.33,3600.0,3.0,500.0,4.438151658767772,999
3,박시영,KT,2.4,48,3,3,0,12,0.5,45.0,30.0,4,15,1,51,16,12,1.0,0,0,0,2,180,683,0.189,2,0,1,4,2,5,0,2021,6800.0,1.05,12000.0,3.0,5200.0,4.438151658767772,1024
4,김재윤,KT,2.42,65,4,3,32,0,0.571,67.0,57.0,5,24,0,64,19,18,1.21,0,0,0,5,275,1071,0.232,8,0,1,4,4,2,0,2021,17000.0,2.25,28000.0,1.0,11000.0,4.438151658767772,1024
7,심재민,KT,2.89,28,0,1,0,1,0.0,46.0,0.6,41,11,0,35,15,15,1.11,0,0,0,0,189,744,0.234,4,0,1,2,1,0,0,2021,6300.0,1.13,8200.0,3.0,1900.0,4.438151658767772,1024
8,고영표,KT,2.92,26,11,6,0,1,0.647,166.0,0.6,147,27,14,130,59,54,1.04,1,1,21,0,664,2411,0.238,20,2,2,4,1,1,0,2021,12000.0,5.65,30000.0,0.0,18000.0,4.438151658767772,1024
9,김민수,KT,2.95,56,4,2,0,11,0.667,58.0,56.0,2,24,3,55,25,19,1.38,0,0,0,2,253,924,0.256,8,1,4,3,3,3,1,2021,7000.0,0.89,11500.0,1.0,4500.0,4.438151658767772,1024
10,주권,KT,3.31,62,3,4,0,27,0.429,49.0,48.0,3,19,1,19,19,18,1.37,0,0,0,4,208,733,0.264,7,1,5,1,2,1,0,2021,25000.0,1.22,29500.0,3.0,4500.0,4.438151658767772,1024
12,데스파이네,KT,3.39,33,13,10,0,0,0.565,188.0,0.6,175,78,7,165,81,71,1.34,0,0,21,0,819,3405,0.243,30,3,11,3,0,15,0,2021,50000.0,5.24,70000.0,0.0,20000.0,4.438151658767772,1024
14,배제성,KT,3.68,26,9,10,0,0,0.474,141.0,0.6,126,82,1,136,67,58,1.47,0,0,12,0,621,2436,0.239,27,1,4,7,1,9,0,2021,17000.0,3.55,27000.0,0.0,10000.0,4.438151658767772,1024
15,안영명,KT,4.08,35,0,1,0,4,0.0,35.0,0.3,24,11,1,32,17,16,0.99,0,0,0,0,145,557,0.192,3,0,4,4,0,0,0,2021,7000.0,0.66,8500.0,3.0,1500.0,4.438151658767772,1024
16,엄상백,KT,4.1,10,4,1,0,0,0.8,52.0,0.6,41,28,3,45,24,24,1.31,0,0,3,0,228,911,0.21,10,0,1,1,0,0,0,2021,5000.0,1.34,8000.0,1.0,3000.0,4.438151658767772,1024
17,쿠에바스,KT,4.12,23,9,5,0,0,0.643,133.0,0.3,131,51,3,137,68,61,1.37,1,1,11,0,580,2191,0.254,21,3,6,4,0,6,0,2021,50000.0,2.52,80000.0,2.0,30000.0,4.438151658767772,1024
18,소형준,KT,4.16,24,7,7,0,0,0.5,119.0,123.0,6,51,4,85,67,55,1.46,0,0,8,0,521,2097,0.268,17,0,2,5,1,5,0,2021,14000.0,2.1,20000.0,2.0,6000.0,4.438151658767772,1024
4,요키시,키움,2.93,31,16,9,0,0,0.64,181.0,0.3,171,46,4,131,71,59,1.2,0,0,17,0,739,2840,0.252,24,0,7,4,2,9,0,2021,75000.0,5.58,90000.0,0.0,15000.0,4.438151658767772,976
7,김태훈,키움,3.22,66,4,2,11,15,0.667,64.0,0.3,60,33,1,52,26,23,1.45,0,0,0,5,282,1100,0.249,10,0,2,5,2,3,1,2021,10000.0,1.06,19000.0,1.0,9000.0,4.438151658767772,976
8,안우진,키움,3.26,21,8,8,0,0,0.5,107.0,0.6,88,41,7,110,47,39,1.2,0,0,8,0,450,1867,0.22,15,1,2,0,1,5,1,2021,9000.0,2.73,15000.0,2.0,6000.0,4.438151658767772,976
9,김성민,키움,3.28,47,2,3,1,11,0.4,46.0,0.6,43,35,6,36,21,17,1.67,0,0,0,4,218,886,0.251,7,0,4,2,2,1,0,2021,6000.0,0.47,9000.0,1.0,3000.0,4.438151658767772,976
11,김재웅,키움,3.54,51,0,1,1,11,0.0,53.0,0.3,49,33,1,47,24,21,1.54,0,0,0,0,243,1015,0.239,2,0,2,2,3,2,0,2021,5200.0,0.76,10400.0,1.0,5200.0,4.438151658767772,976
12,한현희,키움,3.89,18,6,2,0,1,0.75,85.0,0.6,86,30,6,61,42,37,1.35,0,0,5,0,372,1400,0.257,20,0,1,1,0,3,0,2021,29000.0,1.93,25000.0,4.0,-4000.0,4.438151658767772,976
13,정찬헌,키움,4.01,23,9,5,0,0,0.643,114.0,0.3,133,27,6,59,55,51,1.4,1,1,11,0,497,1858,0.29,23,2,3,3,0,3,0,2021,20000.0,2.13,28000.0,2.0,8000.0,4.438151658767772,976
15,최원태,키움,4.58,28,9,11,0,0,0.45,143.0,0.3,163,53,10,93,89,73,1.51,0,0,11,0,643,2423,0.287,21,3,7,5,2,3,0,2021,29000.0,1.51,31000.0,0.0,2000.0,4.438151658767772,976
16,양현,키움,4.69,45,1,2,0,5,0.333,48.0,59.0,3,26,1,22,31,25,1.77,0,0,0,0,225,887,0.312,11,0,4,5,4,1,0,2021,12000.0,-0.13,10000.0,1.0,-2000.0,4.438151658767772,976
18,김동혁,키움,5.05,40,0,5,1,0,0.0,82.0,89.0,5,34,14,30,51,46,1.5,0,0,1,0,367,1331,0.29,21,0,6,6,4,0,1,2021,3000.0,0.44,6000.0,4.0,3000.0,4.438151658767772,976
19,김성진,키움,5.18,46,1,3,0,2,0.25,41.0,0.6,40,23,0,31,30,24,1.51,0,0,0,2,188,707,0.258,13,0,5,5,2,3,0,2021,3000.0,-0.22,5000.0,3.0,2000.0,4.438151658767772,976
21,이승호,키움,5.51,38,1,3,0,5,0.25,47.0,0.3,55,31,1,37,39,29,1.82,0,0,0,1,224,830,0.296,7,1,5,1,2,8,0,2021,10000.0,-0.45,8500.0,3.0,-1500.0,4.438151658767772,976
23,김선기,키움,6.52,21,3,2,0,0,0.6,48.0,0.3,53,22,7,25,38,35,1.55,0,0,2,1,224,863,0.277,12,0,1,3,0,4,1,2021,5300.0,-0.11,6300.0,1.0,1000.0,4.438151658767772,976
2,김대유,LG,2.13,64,4,1,0,24,0.8,50.0,0.6,32,15,9,56,13,12,0.93,0,0,0,2,209,840,0.177,1,0,2,2,0,2,0,2021,4000.0,1.93,12500.0,3.0,8500.0,4.438151658767772,944
4,고우석,LG,2.17,63,1,5,30,0,0.167,58.0,47.0,3,23,3,68,15,14,1.21,0,0,0,7,240,922,0.224,10,1,4,0,5,1,0,2021,18000.0,2.52,27000.0,1.0,9000.0,4.438151658767772,944
6,정우영,LG,2.22,70,7,3,2,27,0.7,65.0,43.0,0,26,8,41,16,16,1.06,0,0,0,3,263,1004,0.191,9,0,2,2,1,2,0,2021,18000.0,2.49,28000.0,1.0,10000.0,4.438151658767772,944
7,최성훈,LG,2.43,46,1,1,0,3,0.5,40.0,0.6,40,19,1,33,14,11,1.45,0,0,0,0,179,666,0.255,7,1,1,1,1,0,0,2021,7200.0,0.39,10500.0,3.0,3300.0,4.438151658767772,944
8,진해수,LG,2.44,50,1,0,0,5,1.0,44.0,0.3,41,18,3,39,17,12,1.33,0,0,0,1,188,744,0.25,4,0,0,3,1,1,0,2021,25000.0,0.82,30000.0,3.0,5000.0,4.438151658767772,944
9,이정용,LG,2.97,66,3,3,0,15,0.5,69.0,0.6,55,23,1,74,25,23,1.12,0,0,0,0,284,1132,0.214,13,2,2,1,1,0,0,2021,5000.0,1.31,14000.0,1.0,9000.0,4.438151658767772,944
12,켈리,LG,3.15,30,13,8,0,0,0.619,177.0,160.0,12,60,11,142,64,62,1.24,0,0,17,0,744,2902,0.241,25,0,4,5,3,7,1,2021,70000.0,5.63,90000.0,0.0,20000.0,4.438151658767772,944
15,임찬규,LG,3.87,17,1,8,0,0,0.111,90.0,0.6,76,41,3,67,45,39,1.29,0,0,7,0,387,1446,0.226,9,3,6,1,1,5,0,2021,22000.0,1.79,20000.0,4.0,-2000.0,4.438151658767772,944
16,송은범,LG,4.1,35,2,2,0,4,0.5,37.0,0.3,34,13,2,19,18,17,1.26,0,0,0,0,155,590,0.25,7,0,0,4,1,4,0,2021,27000.0,0.54,15000.0,3.0,-12000.0,4.438151658767772,944
17,배재준,LG,4.13,15,2,2,0,0,0.5,32.0,0.6,42,13,3,23,17,15,1.68,0,0,1,0,151,610,0.313,10,0,0,1,0,1,0,2021,3000.0,0.35,5000.0,3.0,2000.0,4.438151658767772,944
19,이민호,LG,4.3,25,8,9,0,0,0.471,115.0,89.0,13,45,14,100,58,55,1.17,0,0,7,0,477,1991,0.22,17,0,11,3,1,6,0,2021,7000.0,2.13,9800.0,2.0,2800.0,4.438151658767772,944
21,김윤식,LG,4.46,35,7,4,0,1,0.636,66.0,0.6,65,36,6,56,37,33,1.52,0,0,0,1,301,1167,0.258,9,2,5,2,2,0,2,2021,5000.0,0.22,7000.0,4.0,2000.0,4.438151658767772,944
23,이우찬,LG,5.56,15,0,1,0,0,0.0,34.0,36.0,3,25,1,27,25,21,1.79,0,0,0,0,161,648,0.271,3,1,0,2,0,0,0,2021,5000.0,-0.21,5000.0,3.0,0.0,4.438151658767772,944
7,최준용,롯데,2.85,44,4,2,1,20,0.667,47.0,0.3,41,16,1,45,16,15,1.2,0,0,0,2,195,764,0.234,7,0,3,0,3,1,0,2021,4200.0,2.12,10700.0,3.0,6500.0,4.438151658767772,1050
8,김원중,롯데,3.59,61,4,4,35,0,0.5,62.0,0.6,50,28,3,64,26,25,1.24,0,0,0,5,268,1028,0.217,8,0,6,1,4,8,0,2021,17000.0,1.86,28000.0,1.0,11000.0,4.438151658767772,1050
9,박세웅,롯데,3.98,28,10,9,0,0,0.526,163.0,141.0,20,53,10,125,75,72,1.19,1,1,18,0,685,2609,0.229,24,0,5,1,0,17,0,2021,16500.0,5.23,26000.0,0.0,9500.0,4.438151658767772,1050
10,스트레일리,롯데,4.07,31,10,12,0,0,0.455,165.0,0.6,162,67,7,164,85,75,1.38,0,0,14,0,714,2968,0.259,25,2,6,8,0,8,1,2021,90000.0,4.37,40000.0,0.0,-50000.0,4.438151658767772,1050
11,이인복,롯데,4.11,25,3,0,0,1,1.0,61.0,0.3,75,14,5,45,31,28,1.45,0,0,1,0,271,950,0.299,17,3,1,0,1,0,0,2021,4800.0,1.24,8500.0,1.0,3700.0,4.438151658767772,1050
12,구승민,롯데,4.33,68,6,5,0,20,0.545,62.0,0.3,47,31,4,65,30,30,1.25,0,0,0,3,262,1043,0.213,7,2,5,1,0,4,1,2021,15000.0,1.38,18100.0,1.0,3100.0,4.438151658767772,1050
14,김대우,롯데,5.09,39,2,2,0,9,0.5,35.0,0.3,32,24,4,31,22,20,1.58,0,0,0,3,160,671,0.26,7,0,5,4,0,5,0,2021,5000.0,0.15,6500.0,3.0,1500.0,4.438151658767772,1050
16,이승헌,롯데,5.77,16,0,3,0,0,0.0,57.0,0.6,65,43,7,31,39,37,1.87,0,0,1,0,278,1051,0.291,10,0,4,1,0,11,1,2021,4200.0,0.73,5300.0,1.0,1100.0,4.438151658767772,1050
17,김도규,롯데,5.79,43,2,1,0,5,0.667,42.0,41.0,3,22,0,39,28,27,1.5,0,0,0,0,182,742,0.263,5,1,2,2,1,2,0,2021,3000.0,0.22,5700.0,3.0,2700.0,4.438151658767772,1050
19,김진욱,롯데,6.31,39,4,6,0,8,0.4,45.0,0.6,42,49,3,45,32,32,1.99,0,0,0,0,227,994,0.247,9,0,3,2,3,15,0,2021,3000.0,0.26,5100.0,1.0,2100.0,4.438151658767772,1050
20,나균안,롯데,6.41,23,1,2,1,1,0.333,46.0,0.3,62,24,0,27,36,33,1.86,0,0,1,0,223,861,0.315,13,0,1,1,0,1,1,2021,4300.0,0.05,5800.0,1.0,1500.0,4.438151658767772,1050
25,서준원,롯데,7.33,26,1,3,0,3,0.25,54.0,72.0,5,29,2,37,46,44,1.87,0,0,0,0,257,978,0.332,13,2,5,4,3,1,0,2021,8500.0,-0.3,8400.0,1.0,-100.0,4.438151658767772,1050
2,류진욱,NC,2.08,44,1,0,1,7,1.0,43.0,0.3,40,22,0,31,15,10,1.43,0,0,0,0,190,769,0.242,6,1,2,1,0,4,0,2021,3000.0,0.86,7500.0,3.0,4500.0,4.438151658767772,1026
3,이용찬,NC,2.19,39,1,3,16,3,0.25,37.0,27.0,2,11,1,35,11,9,1.03,0,0,0,4,151,610,0.199,4,0,2,1,3,2,1,2021,10000.0,1.38,40000.0,3.0,30000.0,4.438151658767772,1026
4,루친스키,NC,3.17,30,15,10,0,0,0.6,178.0,0.6,160,55,10,177,76,63,1.2,0,0,19,0,754,2969,0.234,24,1,3,1,0,6,2,2021,130000.0,5.79,160000.0,0.0,30000.0,4.438151658767772,1026
5,파슨스,NC,3.72,24,4,8,0,0,0.333,133.0,109.0,9,63,11,148,56,55,1.29,1,0,13,0,577,2370,0.218,16,2,0,2,0,10,1,2021,32000.0,4.39,44000.0,0.0,12000.0,4.438151658767772,1026
8,홍성민,NC,3.92,53,3,4,0,14,0.429,41.0,0.3,53,12,2,26,19,18,1.57,0,0,0,2,185,720,0.317,9,0,3,1,1,2,1,2021,11000.0,1.07,12500.0,3.0,1500.0,4.438151658767772,1026
9,임정호,NC,4.15,60,0,4,0,12,0.0,34.0,0.6,37,25,3,24,20,16,1.79,0,0,0,0,165,660,0.278,4,1,3,1,2,0,0,2021,13000.0,0.82,10500.0,3.0,-2500.0,4.438151658767772,1026
10,원종현,NC,4.25,61,2,2,14,6,0.5,53.0,67.0,5,23,3,45,27,25,1.7,0,0,0,7,245,904,0.315,9,0,4,2,2,4,0,2021,30000.0,0.09,27000.0,1.0,-3000.0,4.438151658767772,1026
11,신민혁,NC,4.41,30,9,6,0,0,0.6,145.0,155.0,17,44,5,107,75,71,1.37,0,0,9,0,625,2490,0.271,28,3,2,2,0,2,2,2021,4000.0,3.51,12000.0,0.0,8000.0,4.438151658767772,1026
16,이재학,NC,5.2,17,6,6,0,0,0.5,83.0,74.0,14,52,6,65,50,48,1.52,2,1,4,0,370,1502,0.239,16,1,2,1,0,3,0,2021,20000.0,1.65,18000.0,4.0,-2000.0,4.438151658767772,1026
17,김영규,NC,5.37,37,5,3,0,6,0.625,63.0,0.6,69,28,1,42,40,38,1.52,0,0,1,0,286,1088,0.274,8,0,4,1,0,3,0,2021,8300.0,0.67,9500.0,1.0,1200.0,4.438151658767772,1026
22,송명기,NC,5.91,24,8,9,0,0,0.471,123.0,0.3,147,58,9,102,83,81,1.66,0,0,6,0,574,2254,0.292,39,2,1,3,1,2,1,2021,11000.0,1.48,13000.0,2.0,2000.0,4.438151658767772,1026
1,오승환,삼성,2.03,64,0,2,44,0,0.0,62.0,56.0,3,16,2,57,17,14,1.16,0,0,0,1,252,1003,0.245,15,3,4,1,3,2,0,2021,110000.0,2.54,160000.0,1.0,50000.0,4.438151658767772,1042
2,백정현,삼성,2.63,27,14,5,0,0,0.737,157.0,0.6,142,54,2,109,54,46,1.24,0,0,15,0,648,2503,0.244,25,1,5,4,2,5,0,2021,25500.0,6.15,80000.0,0.0,54500.0,4.438151658767772,1042
3,원태인,삼성,3.06,26,14,7,0,0,0.667,158.0,0.6,147,51,5,129,59,54,1.25,0,0,16,0,655,2522,0.249,32,1,6,2,1,5,1,2021,13000.0,6.03,30000.0,0.0,17000.0,4.438151658767772,1042
4,뷰캐넌,삼성,3.1,30,16,5,0,0,0.762,177.0,173.0,13,59,2,162,71,61,1.31,1,1,20,0,758,2967,0.25,25,4,3,3,2,7,0,2021,90000.0,5.69,110000.0,0.0,20000.0,4.438151658767772,1042
5,우규민,삼성,3.31,60,3,3,2,24,0.5,49.0,58.0,5,9,2,35,22,18,1.37,0,0,0,4,213,786,0.294,4,1,3,2,1,1,0,2021,20000.0,0.77,20000.0,3.0,0.0,4.438151658767772,1042
15,이승현,삼성,5.26,41,1,4,0,7,0.2,39.0,0.3,35,23,3,46,24,23,1.47,0,0,0,1,174,744,0.246,8,0,4,2,0,5,0,2021,15000.0,-0.16,10000.0,3.0,-5000.0,4.438151658767772,1042
18,김대우,삼성,6.35,31,0,2,0,1,0.0,51.0,68.0,7,15,2,27,39,36,1.63,0,0,0,0,234,839,0.315,18,0,0,1,1,1,0,2021,15500.0,-0.03,12000.0,3.0,-3500.0,4.438151658767772,1042
23,이승민,삼성,8.58,11,1,4,0,0,0.2,35.0,0.6,50,18,3,22,34,34,1.91,0,0,1,0,173,732,0.336,6,1,0,3,0,0,0,2021,3700.0,-0.11,4100.0,3.0,400.0,4.438151658767772,1042
3,김택형,SSG,2.39,59,5,1,7,4,0.833,75.0,0.3,61,42,3,62,23,20,1.37,0,0,0,3,316,1277,0.231,11,0,3,4,5,3,0,2021,3000.0,2.27,12500.0,4.0,9500.0,4.438151658767772,1027
4,박종훈,SSG,2.82,9,4,2,0,0,0.667,54.0,0.3,40,17,7,41,19,17,1.05,0,0,6,0,222,867,0.205,7,0,2,1,0,0,2,2021,32000.0,2.09,180000.0,1.0,148000.0,4.438151658767772,1027
5,문승원,SSG,2.86,9,2,2,0,0,0.5,50.0,0.3,42,18,2,32,20,16,1.19,0,0,5,0,212,858,0.22,14,0,1,0,0,1,0,2021,25700.0,1.74,160000.0,1.0,134300.0,4.438151658767772,1027
6,서진용,SSG,3.34,65,7,5,9,3,0.583,67.0,0.3,57,43,0,62,28,25,1.49,0,0,0,5,297,1132,0.232,8,1,4,4,7,3,0,2021,17000.0,1.27,18500.0,1.0,1500.0,4.438151658767772,1027
7,폰트,SSG,3.46,25,8,5,0,0,0.615,145.0,0.6,114,45,6,157,66,56,1.09,0,0,13,0,604,2526,0.211,22,1,8,4,1,2,1,2021,85000.0,4.09,110000.0,0.0,25000.0,4.438151658767772,1027
8,박민호,SSG,3.73,40,4,0,0,5,1.0,41.0,45.0,3,11,4,19,18,17,1.37,0,0,0,3,177,703,0.283,5,0,3,0,0,0,0,2021,10000.0,0.65,12000.0,3.0,2000.0,4.438151658767772,1027
10,장지훈,SSG,3.92,60,2,5,1,10,0.286,80.0,0.3,84,19,4,51,40,35,1.28,0,0,0,2,342,1239,0.268,12,2,5,1,1,1,1,2021,3000.0,1.33,10500.0,4.0,7500.0,4.438151658767772,1027
14,김태훈,SSG,4.97,65,2,4,1,16,0.333,58.0,55.0,7,38,10,49,35,32,1.6,0,0,0,7,269,1012,0.253,5,0,3,1,3,4,1,2021,16000.0,0.94,15000.0,1.0,-1000.0,4.438151658767772,1027
19,이태양,SSG,5.73,40,5,10,0,4,0.333,103.0,0.6,123,32,1,62,66,66,1.5,0,0,4,0,456,1644,0.298,23,1,5,5,1,2,0,2021,10000.0,0.74,12000.0,2.0,2000.0,4.438151658767772,1027
20,최민준,SSG,5.86,38,3,3,0,4,0.5,86.0,93.0,11,50,7,62,56,56,1.66,0,0,1,1,398,1672,0.278,17,0,3,4,0,5,1,2021,3000.0,0.63,6500.0,2.0,3500.0,4.438151658767772,1027
22,오원석,SSG,5.89,33,7,6,0,2,0.538,110.0,125.0,11,73,10,95,84,72,1.8,0,0,5,0,530,2098,0.283,20,3,1,5,1,2,1,2021,2700.0,-0.06,6500.0,2.0,3800.0,4.438151658767772,1027
2,정철원,두산,3.1,58,4,3,3,23,0.571,72.0,0.6,60,26,2,47,26,25,1.18,0,0,0,3,294,1162,0.232,12,2,5,2,2,7,0,2022,3000.0,1.68,10000.0,4.0,7000.0,4.14504412393272,953
