순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,연도,현재연봉,WAR_x,예측연봉,tier,salary_changed,mean_ERA,park_factor
14,김기훈,KIA,5.37,22,0,4,0,1,0.0,52.0,58.0,8,31,2,39,35,31,1.71,0,0,0,0,238,1001,0.293,11,1,4,3,0,3,0,2020,3500.0,0.42,4000.0,1.0,500.0,4.756261441365127,1008
16,이민우,KIA,6.79,22,6,10,0,0,0.375,106.0,129.0,11,47,6,67,87,80,1.66,0,0,6,0,486,1831,0.306,20,4,4,8,0,4,0,2020,4300.0,0.61,6000.0,2.0,1700.0,4.756261441365127,1008
17,고영창,KIA,6.83,48,1,1,1,2,0.5,58.0,88.0,3,17,5,23,46,44,1.81,0,0,0,0,275,916,0.355,19,0,4,1,2,5,2,2020,5800.0,-0.31,5200.0,1.0,-600.0,4.756261441365127,1008
18,김현수,KIA,7.24,15,1,2,0,0,0.333,32.0,0.3,41,31,2,19,27,26,2.23,0,0,0,0,167,622,0.313,7,3,2,1,0,1,0,2020,3000.0,0.22,3500.0,3.0,500.0,4.756261441365127,1008
23,장현식,KIA,10.76,37,4,4,0,6,0.5,41.0,64.0,8,22,3,26,52,49,2.1,0,0,0,2,207,821,0.37,14,2,2,7,0,11,0,2020,11000.0,-1.06,10500.0,3.0,-500.0,4.756261441365127,1008
2,이보근,KT,2.51,49,3,1,6,9,0.75,46.0,0.6,42,12,2,27,17,13,1.16,0,0,0,2,192,719,0.241,5,0,2,2,1,3,0,2020,20000.0,0.97,20000.0,3.0,0.0,4.756261441365127,1012
3,주권,KT,2.7,77,6,2,0,31,0.75,70.0,54.0,6,32,1,37,25,21,1.23,0,0,0,6,294,1144,0.213,11,0,5,3,1,0,0,2020,15000.0,1.91,25000.0,1.0,10000.0,4.756261441365127,1012
5,조현우,KT,3.09,54,5,1,1,9,0.833,46.0,0.6,38,22,1,33,16,16,1.29,0,0,0,1,196,708,0.226,8,1,4,1,1,3,0,2020,3000.0,1.8,7500.0,3.0,4500.0,4.756261441365127,1012
6,김재윤,KT,3.26,56,5,3,21,1,0.625,60.0,0.6,62,15,0,58,23,22,1.27,0,0,0,7,256,1018,0.265,4,2,7,0,3,0,0,2020,12000.0,1.47,17000.0,1.0,5000.0,4.756261441365127,1012
7,유원상,KT,3.8,62,2,1,2,9,0.667,64.0,52.0,8,28,1,37,32,27,1.25,0,0,0,1,271,955,0.218,12,0,0,3,1,5,0,2020,4000.0,0.78,8000.0,1.0,4000.0,4.756261441365127,1012
8,소형준,KT,3.86,26,13,6,0,0,0.684,133.0,141.0,6,45,6,92,63,57,1.4,0,0,10,0,572,2172,0.274,23,0,3,3,0,2,0,2020,2700.0,3.24,14000.0,2.0,11300.0,4.756261441365127,1012
9,배제성,KT,3.95,26,10,7,0,0,0.588,141.0,0.3,130,76,4,83,67,62,1.46,0,0,10,0,619,2364,0.244,30,1,3,3,0,11,1,2020,11000.0,3.43,17000.0,0.0,6000.0,4.756261441365127,1012
10,쿠에바스,KT,4.1,27,10,8,0,0,0.556,158.0,152.0,16,46,9,110,80,72,1.25,0,0,14,0,668,2518,0.253,26,1,5,8,0,4,0,2020,60000.0,3.49,50000.0,0.0,-10000.0,4.756261441365127,1012
11,데스파이네,KT,4.33,35,15,8,0,0,0.652,207.0,0.6,233,68,8,152,105,100,1.45,0,0,18,0,906,3525,0.286,36,1,6,8,1,18,0,2020,45000.0,4.12,50000.0,0.0,5000.0,4.756261441365127,1012
12,전유수,KT,5.12,47,5,4,2,3,0.556,45.0,0.6,46,21,3,27,26,26,1.47,0,0,0,1,200,771,0.272,7,1,4,3,5,1,0,2020,10000.0,0.55,10500.0,3.0,500.0,4.756261441365127,1012
17,하준호,KT,6.05,42,0,3,0,5,0.0,41.0,0.6,38,27,2,26,30,28,1.56,0,0,0,1,189,764,0.239,6,0,1,0,1,2,0,2020,4500.0,0.21,6000.0,3.0,1500.0,4.756261441365127,1012
18,김민수,KT,6.1,33,3,8,0,0,0.273,103.0,0.3,151,30,4,63,80,70,1.75,0,0,3,2,482,1726,0.34,22,1,0,4,0,6,0,2020,6500.0,-0.22,7000.0,2.0,500.0,4.756261441365127,1012
3,요키시,키움,2.14,27,12,7,0,0,0.632,159.0,0.6,144,25,6,115,53,38,1.06,0,0,20,0,640,2417,0.237,26,3,2,0,0,3,1,2020,55000.0,6.08,75000.0,0.0,20000.0,4.756261441365127,969
4,조상우,키움,2.15,53,5,3,33,0,0.625,54.0,0.3,50,18,2,64,15,13,1.25,0,0,0,3,232,955,0.238,5,0,2,0,2,1,0,2020,20000.0,2.29,33000.0,1.0,13000.0,4.756261441365127,969
5,안우진,키움,3.0,42,2,3,2,13,0.4,36.0,20.0,3,17,0,41,12,12,1.03,0,0,0,5,143,579,0.16,2,0,0,1,1,2,0,2020,4800.0,1.0,9000.0,3.0,4200.0,4.756261441365127,969
6,양현,키움,3.3,58,8,3,2,11,0.727,60.0,58.0,4,17,3,33,23,22,1.25,0,0,0,2,245,889,0.265,9,1,1,5,0,1,0,2020,9000.0,0.72,12000.0,1.0,3000.0,4.756261441365127,969
7,브리검,키움,3.62,21,9,5,0,0,0.643,107.0,98.0,6,42,5,105,45,43,1.31,0,0,7,0,456,1843,0.246,7,2,5,6,1,8,0,2020,80000.0,3.16,48000.0,2.0,-32000.0,4.756261441365127,969
10,김태훈,키움,4.22,53,7,0,0,10,1.0,64.0,70.0,1,22,5,40,34,30,1.44,0,0,0,2,281,1039,0.282,14,1,4,2,1,3,0,2020,8000.0,0.23,10000.0,1.0,2000.0,4.756261441365127,969
12,임규빈,키움,4.54,33,2,0,0,2,1.0,37.0,0.6,46,10,2,20,20,19,1.49,0,0,0,0,162,603,0.315,7,0,1,3,0,2,0,2020,2700.0,0.16,4500.0,3.0,1800.0,4.756261441365127,969
13,김재웅,키움,4.68,43,1,4,0,2,0.2,59.0,0.6,64,23,2,51,36,31,1.46,0,0,0,0,258,1040,0.279,18,0,3,1,1,4,0,2020,2700.0,0.1,5200.0,1.0,2500.0,4.756261441365127,969
14,이영준,키움,4.73,52,2,3,0,25,0.4,40.0,41.0,5,19,2,32,21,21,1.5,0,0,0,1,176,695,0.268,3,0,0,2,0,3,1,2020,5500.0,0.93,7500.0,3.0,2000.0,4.756261441365127,969
15,김상수,키움,4.73,60,3,3,5,11,0.5,51.0,0.3,52,21,3,48,33,27,1.42,0,0,0,3,226,906,0.265,12,0,3,2,1,1,0,2020,30000.0,0.17,30000.0,1.0,0.0,4.756261441365127,969
